x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.002121, 0.002758, 0.000545 
-0.002121, 0.002759, 0.000546 
-0.002167, 0.002818, 0.000557 
-0.002212, 0.002876, 0.000569 
-0.002257, 0.002935, 0.000580 
-0.002301, 0.002993, 0.000592 
-0.002346, 0.003051, 0.000603 
-0.002391, 0.003110, 0.000615 
-0.002436, 0.003168, 0.000626 
-0.002481, 0.003226, 0.000638 
-0.002525, 0.003284, 0.000649 
-0.002570, 0.003343, 0.000661 
-0.002615, 0.003402, 0.000673 
-0.002660, 0.003459, 0.000684 
-0.002705, 0.003517, 0.000695 
-0.002750, 0.003576, 0.000707 
-0.002795, 0.003635, 0.000719 
-0.002839, 0.003692, 0.000730 
-0.002884, 0.003750, 0.000741 
-0.002929, 0.003809, 0.000753 
-0.002974, 0.003867, 0.000765 
-0.003019, 0.003926, 0.000776 
-0.003063, 0.003984, 0.000788 
-0.003108, 0.004042, 0.000799 
-0.003153, 0.004100, 0.000811 
-0.003197, 0.004158, 0.000822 
-0.003242, 0.004217, 0.000834 
-0.003287, 0.004275, 0.000845 
-0.003332, 0.004334, 0.000857 
-0.003377, 0.004392, 0.000868 
-0.003422, 0.004450, 0.000880 
-0.003467, 0.004509, 0.000891 
-0.003512, 0.004567, 0.000903 
-0.003557, 0.004625, 0.000915 
-0.003601, 0.004684, 0.000926 
-0.003646, 0.004742, 0.000938 
-0.003691, 0.004801, 0.000949 
