x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.005443, -0.001288, 0.000148 
-0.005542, -0.001311, 0.000150 
-0.005667, -0.001341, 0.000154 
-0.005793, -0.001371, 0.000157 
-0.005919, -0.001401, 0.000161 
-0.006044, -0.001430, 0.000164 
-0.006169, -0.001460, 0.000167 
-0.006294, -0.001489, 0.000171 
-0.006418, -0.001519, 0.000174 
-0.006545, -0.001549, 0.000178 
-0.006677, -0.001580, 0.000181 
-0.006795, -0.001608, 0.000184 
-0.006922, -0.001638, 0.000188 
-0.007047, -0.001668, 0.000191 
-0.007174, -0.001698, 0.000195 
-0.007301, -0.001728, 0.000198 
-0.007424, -0.001757, 0.000201 
-0.007551, -0.001787, 0.000205 
-0.007676, -0.001816, 0.000208 
-0.007803, -0.001846, 0.000212 
-0.007929, -0.001876, 0.000215 
-0.008059, -0.001907, 0.000219 
-0.008184, -0.001937, 0.000222 
-0.008306, -0.001966, 0.000225 
-0.008433, -0.001996, 0.000229 
-0.008559, -0.002025, 0.000232 
-0.008684, -0.002055, 0.000236 
-0.008810, -0.002085, 0.000239 
-0.008936, -0.002115, 0.000242 
-0.009066, -0.002145, 0.000246 
-0.009186, -0.002174, 0.000249 
-0.009312, -0.002204, 0.000253 
-0.009436, -0.002233, 0.000256 
-0.009562, -0.002263, 0.000259 
-0.009688, -0.002293, 0.000263 
-0.009814, -0.002322, 0.000266 
-0.009937, -0.002352, 0.000270 
-0.010064, -0.002382, 0.000273 
