Time [s], X-Pos [m], Y-Pos [m], phi [rad], dphi [rad/s], Path Vel [m/s], v_l [rpm], v_r [rpm]
0,0,0,0,0,0,0,0
0.05,7.5747e-05,0,0,0,0.00454482,8,8
0.1,0.000605976,0,0,0,0.0181793,32,32
0.15,0.00204517,0,0,0,0.0409034,71,71
0.2,0.00484781,0,0,0,0.0727171,126,126
0.25,0.00946389,0,0,0,0.112751,196,196
0.3,0.0160214,0,0,0,0.148032,257,257
0.35,0.0241156,0,0,0,0.174224,302,302
0.4,0.0332923,0,0,0,0.191326,332,332
0.45,0.0430968,0,0,0,0.199339,346,346
0.5,0.0530926,0,0,0,0.2,347,347
0.55,0.0630926,0,0,0,0.2,347,347
0.6,0.0730926,0,0,0,0.2,347,347
0.65,0.0830926,0,0,0,0.2,347,347
0.7,0.0930926,0,0,0,0.2,347,347
0.75,0.103093,0,0,0,0.2,347,347
0.8,0.113093,0,0,0,0.2,347,347
0.85,0.123093,0,0,0,0.2,347,347
0.9,0.133093,0,0,0,0.2,347,347
0.95,0.143093,0,0,0,0.2,347,347
1,0.153093,0,0,0,0.2,347,347
1.05,0.163093,0,0,0,0.2,347,347
1.1,0.173093,0,0,0,0.2,347,347
1.15,0.183093,0,0,0,0.2,347,347
1.2,0.193093,0,0,0,0.2,347,347
1.25,0.203093,0,0,0,0.2,347,347
1.3,0.213093,0,0,0,0.2,347,347
1.35,0.223093,0,0,0,0.2,347,347
1.4,0.233093,0,0,0,0.2,347,347
1.45,0.243093,0,0,0,0.2,347,347
1.5,0.253093,0,0,0,0.2,347,347
1.55,0.263093,0,0,0,0.2,347,347
1.6,0.273093,0,0,0,0.2,347,347
1.65,0.283093,0,0,0,0.2,347,347
1.7,0.293093,0,0,0,0.2,347,347
1.75,0.303093,0,0,0,0.2,347,347
1.8,0.313093,0,0,0,0.2,347,347
1.85,0.323093,0,0,0,0.2,347,347
1.9,0.333093,0,0,0,0.2,347,347
1.95,0.343093,0,0,0,0.2,347,347
2,0.353093,0,0,0,0.2,347,347
2.05,0.363093,0,0,0,0.2,347,347
2.1,0.373093,0,0,0,0.2,347,347
2.15,0.383093,0,0,0,0.2,347,347
2.2,0.393093,0,0,0,0.2,347,347
2.25,0.403093,0,0,0,0.2,347,347
2.3,0.413093,0,0,0,0.2,347,347
2.35,0.423093,0,0,0,0.2,347,347
2.4,0.433093,0,0,0,0.2,347,347
2.45,0.443093,0,0,0,0.2,347,347
2.5,0.453093,0,0,0,0.2,347,347
2.55,0.463093,0,0,0,0.2,347,347
2.6,0.473093,0,0,0,0.2,347,347
2.65,0.483093,0,0,0,0.2,347,347
2.7,0.493093,0,0,0,0.2,347,347
2.75,0.503093,0,0,0,0.2,347,347
2.8,0.513093,0,0,0,0.2,347,347
2.85,0.523093,0,0,0,0.2,347,347
2.9,0.533093,0,0,0,0.2,347,347
2.95,0.543093,0,0,0,0.2,347,347
3,0.553093,0,0,0,0.2,347,347
3.05,0.563093,0,0,0,0.2,347,347
3.1,0.573093,0,0,0,0.2,347,347
3.15,0.583093,0,0,0,0.2,347,347
3.2,0.593093,0,0,0,0.2,347,347
3.25,0.603093,0,0,0,0.2,347,347
3.3,0.613093,0,0,0,0.2,347,347
3.35,0.623093,0,0,0,0.2,347,347
3.4,0.633093,0,0,0,0.2,347,347
3.45,0.643093,0,0,0,0.2,347,347
3.5,0.653093,0,0,0,0.2,347,347
3.55,0.663093,0,0,0,0.2,347,347
3.6,0.673093,0,0,0,0.2,347,347
3.65,0.683093,0,0,0,0.2,347,347
3.7,0.693093,0,0,0,0.2,347,347
3.75,0.703093,0,0,0,0.2,347,347
3.8,0.713093,0,0,0,0.2,347,347
3.85,0.723093,0,0,0,0.2,347,347
3.9,0.733093,0,0,0,0.2,347,347
3.95,0.743093,0,0,0,0.2,347,347
4,0.753093,0,0,0,0.2,347,347
4.05,0.763093,0,0,0,0.2,347,347
4.1,0.773093,0,0,0,0.2,347,347
4.15,0.783093,0,0,0,0.2,347,347
4.2,0.793093,0,0,0,0.2,347,347
4.25,0.803093,0,0,0,0.2,347,347
4.3,0.813093,0,0,0,0.2,347,347
4.35,0.823093,0,0,0,0.2,347,347
4.4,0.833093,0,0,0,0.2,347,347
4.45,0.843093,0,0,0,0.2,347,347
4.5,0.853093,0,0,0,0.2,347,347
4.55,0.863093,0,0,0,0.2,347,347
4.6,0.873093,0,0,0,0.2,347,347
4.65,0.883093,0,0,0,0.2,347,347
4.7,0.893093,0,0,0,0.2,347,347
4.75,0.903093,0,0,0,0.2,347,347
4.8,0.913093,0,0,0,0.2,347,347
4.85,0.923093,0,0,0,0.2,347,347
4.9,0.933093,0,0,0,0.2,347,347
4.95,0.943093,0,0,0,0.2,347,347
5,0.953093,0,0,0,0.2,347,347
5.05,0.963093,0,0,0,0.2,347,347
5.1,0.973093,0,0,0,0.2,347,347
5.15,0.983093,0,0,0,0.2,347,347
5.2,0.993093,0,0,0,0.2,347,347
5.25,1.00309,0,0,0,0.2,347,347
5.3,1.01309,0,0,0,0.2,347,347
5.35,1.02309,0,0,0,0.2,347,347
5.4,1.03309,0,0,0,0.2,347,347
5.45,1.04309,0,0,0,0.2,347,347
5.5,1.05309,0,0,0,0.2,347,347
5.55,1.06309,0,0,0,0.2,347,347
5.6,1.07309,0,0,0,0.2,347,347
5.65,1.08309,0,0,0,0.2,347,347
5.7,1.09309,0,0,0,0.2,347,347
5.75,1.10309,0,0,0,0.2,347,347
5.8,1.11309,0,0,0,0.2,347,347
