Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,0,0,0,0,0,0,0
0.05,7.5747e-05,0,0,0.00454482,0,0,0.00454482
0.1,0.000605976,0,0,0.0181793,0,0,0.0181793
0.15,0.00204517,0,0,0.0409034,0,0,0.0409034
0.2,0.00484781,0,0,0.0727171,0,0,0.0727171
0.25,0.00946837,0,0,0.11362,0,0,0.11362
0.3,0.0163613,0,0,0.163613,0,0,0.163613
0.35,0.0259812,0,0,0.222696,0,0,0.222696
0.4,0.0387524,0,0,0.287776,0,0,0.287776
0.45,0.0546183,0,0,0.345345,0,0,0.345345
0.5,0.0731354,0,0,0.393824,0,0,0.393824
0.55,0.0938491,0,0,0.433213,0,0,0.433213
0.6,0.116305,0,0,0.463513,0,0,0.463513
0.65,0.140049,0,0,0.484723,0,0,0.484723
0.7,0.164626,0,0,0.496843,0,0,0.496843
0.75,0.189582,0,0,0.5,0,0,0.5
0.8,0.214582,0,0,0.5,0,0,0.5
0.85,0.239582,0,0,0.5,0,0,0.5
0.9,0.264582,0,0,0.5,0,0,0.5
0.95,0.289582,0,0,0.5,0,0,0.5
1,0.314582,0,0,0.5,0,0,0.5
1.05,0.339582,0,0,0.5,0,0,0.5
1.1,0.364582,0,0,0.5,0,0,0.5
1.15,0.389582,0,0,0.5,0,0,0.5
1.2,0.414582,0,0,0.5,0,0,0.5
1.25,0.439582,0,0,0.5,0,0,0.5
1.3,0.464582,0,0,0.5,0,0,0.5
1.35,0.489582,0,0,0.5,0,0,0.5
1.4,0.514582,0,0,0.5,0,0,0.5
1.45,0.539582,0,0,0.5,0,0,0.5
1.5,0.564582,0,0,0.5,0,0,0.5
1.55,0.589582,0,0,0.5,0,0,0.5
1.6,0.614582,0,0,0.5,0,0,0.5
1.65,0.639582,0,0,0.5,0,0,0.5
1.7,0.664582,0,0,0.5,0,0,0.5
1.75,0.689582,0,0,0.5,0,0,0.5
1.8,0.714582,0,0,0.5,0,0,0.5
1.85,0.739582,0,0,0.5,0,0,0.5
1.9,0.764582,0,0,0.5,0,0,0.5
1.95,0.789582,0,0,0.5,0,0,0.5
2,0.814582,0,0,0.5,0,0,0.5
2.05,0.839582,0,0,0.5,0,0,0.5
2.1,0.864582,0,0,0.5,0,0,0.5
2.15,0.889582,0,0,0.5,0,0,0.5
2.2,0.914582,0,0,0.5,0,0,0.5
2.25,0.939582,0,0,0.5,0,0,0.5
2.3,0.964582,0,0,0.5,0,0,0.5
2.35,0.989582,0,0,0.5,0,0,0.5
2.4,1.01458,0,0,0.5,0,0,0.5
2.45,1.03958,0,0,0.5,0,0,0.5
2.5,1.06458,0,0,0.5,0,0,0.5
2.55,1.08958,0,0,0.5,0,0,0.5
2.6,1.11458,0,0,0.5,0,0,0.5
2.65,1.13958,0,0,0.5,0,0,0.5
2.7,1.16458,0,0,0.5,0,0,0.5
2.75,1.18958,0,0,0.5,0,0,0.5
2.8,1.21458,0,0,0.5,0,0,0.5
2.85,1.23958,0,0,0.5,0,0,0.5
2.9,1.26458,0,0,0.5,0,0,0.5
2.95,1.28958,0,0,0.5,0,0,0.5
3,1.31458,0,0,0.5,0,0,0.5
3.05,1.33958,0,0,0.5,0,0,0.5
3.1,1.36458,0,0,0.5,0,0,0.5
3.15,1.38958,0,0,0.5,0,0,0.5
3.2,1.41458,0,0,0.5,0,0,0.5
3.25,1.43958,0,0,0.5,0,0,0.5
3.3,1.46458,0,0,0.5,0,0,0.5
3.35,1.48958,0,0,0.5,0,0,0.5
3.4,1.51458,0,0,0.5,0,0,0.5
3.45,1.53958,0,0,0.5,0,0,0.5
3.5,1.56458,0,0,0.5,0,0,0.5
3.55,1.58958,0,0,0.5,0,0,0.5
3.6,1.61458,0,0,0.5,0,0,0.5
3.65,1.63958,0,0,0.5,0,0,0.5
3.7,1.66458,0,0,0.5,0,0,0.5
3.75,1.68958,0,0,0.5,0,0,0.5
3.8,1.71458,0,0,0.5,0,0,0.5
3.85,1.73958,0,0,0.5,0,0,0.5
