x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.003740, -0.000475, 0.000463 
-0.003745, -0.000475, 0.000463 
-0.003751, -0.000476, 0.000464 
-0.003835, -0.000487, 0.000474 
-0.003918, -0.000497, 0.000485 
-0.004004, -0.000508, 0.000495 
-0.004083, -0.000518, 0.000505 
-0.004166, -0.000529, 0.000515 
-0.004249, -0.000540, 0.000526 
-0.004331, -0.000550, 0.000536 
-0.004413, -0.000560, 0.000546 
-0.004545, -0.000577, 0.000562 
-0.004580, -0.000582, 0.000567 
-0.004663, -0.000592, 0.000577 
-0.004745, -0.000603, 0.000587 
-0.004828, -0.000613, 0.000597 
-0.004911, -0.000624, 0.000607 
-0.004993, -0.000634, 0.000618 
-0.005076, -0.000644, 0.000628 
-0.005158, -0.000655, 0.000638 
-0.005242, -0.000666, 0.000648 
-0.005324, -0.000676, 0.000659 
-0.005406, -0.000686, 0.000669 
-0.005490, -0.000697, 0.000679 
-0.005571, -0.000707, 0.000689 
-0.005656, -0.000718, 0.000700 
-0.005739, -0.000729, 0.000710 
-0.005820, -0.000739, 0.000720 
-0.005903, -0.000750, 0.000730 
-0.005986, -0.000760, 0.000741 
-0.006071, -0.000771, 0.000751 
-0.006151, -0.000781, 0.000761 
-0.006236, -0.000792, 0.000771 
-0.006317, -0.000802, 0.000781 
-0.006400, -0.000813, 0.000792 
-0.006483, -0.000823, 0.000802 
-0.006566, -0.000834, 0.000812 
-0.006649, -0.000844, 0.000822 
