x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.006044, -0.004773, -0.006744 
-0.006137, -0.004846, -0.006848 
-0.006276, -0.004956, -0.007003 
-0.006415, -0.005066, -0.007158 
-0.006556, -0.005177, -0.007315 
-0.006696, -0.005288, -0.007471 
-0.006834, -0.005397, -0.007625 
-0.006974, -0.005508, -0.007782 
-0.007114, -0.005618, -0.007939 
-0.007253, -0.005728, -0.008093 
-0.007393, -0.005838, -0.008249 
-0.007531, -0.005947, -0.008403 
-0.007670, -0.006058, -0.008559 
-0.007810, -0.006168, -0.008715 
-0.007951, -0.006279, -0.008872 
-0.008092, -0.006390, -0.009029 
-0.008231, -0.006501, -0.009185 
-0.008372, -0.006611, -0.009341 
-0.008510, -0.006721, -0.009496 
-0.008653, -0.006833, -0.009655 
-0.008790, -0.006942, -0.009809 
-0.008929, -0.007052, -0.009964 
-0.009068, -0.007161, -0.010118 
-0.009208, -0.007272, -0.010275 
-0.009346, -0.007381, -0.010429 
-0.009489, -0.007494, -0.010589 
-0.009625, -0.007601, -0.010740 
-0.009767, -0.007713, -0.010898 
-0.009905, -0.007822, -0.011053 
-0.010045, -0.007933, -0.011209 
-0.010188, -0.008046, -0.011369 
-0.010328, -0.008157, -0.011525 
-0.010467, -0.008266, -0.011680 
-0.010611, -0.008380, -0.011840 
-0.010747, -0.008487, -0.011992 
-0.010885, -0.008596, -0.012146 
-0.011023, -0.008705, -0.012300 
-0.011163, -0.008816, -0.012456 
