x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.002809, 0.004738, 0.000515 
-0.002833, 0.004778, 0.000519 
-0.002904, 0.004898, 0.000532 
-0.002974, 0.005016, 0.000545 
-0.003044, 0.005135, 0.000558 
-0.003116, 0.005255, 0.000571 
-0.003187, 0.005374, 0.000584 
-0.003256, 0.005492, 0.000597 
-0.003327, 0.005612, 0.000610 
-0.003398, 0.005731, 0.000623 
-0.003468, 0.005849, 0.000636 
-0.003539, 0.005968, 0.000649 
-0.003609, 0.006087, 0.000661 
-0.003681, 0.006207, 0.000674 
-0.003751, 0.006326, 0.000687 
-0.003821, 0.006444, 0.000700 
-0.003892, 0.006564, 0.000713 
-0.003962, 0.006682, 0.000726 
-0.004032, 0.006801, 0.000739 
-0.004103, 0.006920, 0.000752 
-0.004173, 0.007039, 0.000765 
-0.004244, 0.007158, 0.000778 
-0.004315, 0.007278, 0.000791 
-0.004406, 0.007431, 0.000807 
-0.004455, 0.007514, 0.000816 
-0.004526, 0.007633, 0.000829 
-0.004600, 0.007757, 0.000843 
-0.004667, 0.007871, 0.000855 
-0.004738, 0.007990, 0.000868 
-0.004808, 0.008109, 0.000881 
-0.004879, 0.008228, 0.000894 
-0.004949, 0.008347, 0.000907 
-0.005020, 0.008466, 0.000920 
-0.005094, 0.008590, 0.000933 
-0.005161, 0.008704, 0.000946 
-0.005231, 0.008823, 0.000959 
-0.005301, 0.008941, 0.000972 
-0.005707, 0.009042, 0.001327 
-0.005709, 0.009044, 0.001328 
-0.005736, 0.009085, 0.001335 
-0.005812, 0.009199, 0.001356 
