x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.000419, 0.006406, 0.000376 
-0.000419, 0.006410, 0.000377 
-0.000428, 0.006555, 0.000385 
-0.000438, 0.006699, 0.000394 
-0.000447, 0.006843, 0.000402 
-0.000457, 0.006986, 0.000410 
-0.000466, 0.007130, 0.000419 
-0.000476, 0.007274, 0.000427 
-0.000485, 0.007419, 0.000436 
-0.000494, 0.007564, 0.000444 
-0.000504, 0.007705, 0.000453 
-0.000513, 0.007851, 0.000461 
-0.000522, 0.007992, 0.000470 
-0.000532, 0.008138, 0.000478 
-0.000541, 0.008281, 0.000487 
-0.000551, 0.008424, 0.000495 
-0.000560, 0.008569, 0.000504 
-0.000569, 0.008711, 0.000512 
-0.000579, 0.008855, 0.000520 
-0.000588, 0.009000, 0.000529 
-0.000598, 0.009145, 0.000537 
-0.000607, 0.009288, 0.000546 
-0.000616, 0.009431, 0.000554 
-0.000626, 0.009575, 0.000563 
-0.000635, 0.009718, 0.000571 
-0.000645, 0.009866, 0.000580 
-0.000654, 0.010008, 0.000588 
-0.000664, 0.010154, 0.000597 
-0.000673, 0.010295, 0.000605 
-0.000682, 0.010439, 0.000613 
-0.000692, 0.010583, 0.000622 
-0.000701, 0.010727, 0.000630 
-0.000711, 0.010871, 0.000639 
-0.000720, 0.011015, 0.000647 
-0.000729, 0.011158, 0.000656 
-0.000739, 0.011304, 0.000664 
-0.000748, 0.011445, 0.000673 
-0.000758, 0.011589, 0.000681 
