x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
-0.004187, 0.001242, 0.000556 
-0.004240, 0.001257, 0.000563 
-0.004356, 0.001292, 0.000578 
-0.004471, 0.001326, 0.000594 
-0.004587, 0.001360, 0.000609 
-0.004705, 0.001395, 0.000625 
-0.004821, 0.001430, 0.000640 
-0.004938, 0.001464, 0.000656 
-0.005052, 0.001498, 0.000671 
-0.005170, 0.001533, 0.000686 
-0.005286, 0.001568, 0.000702 
-0.005401, 0.001602, 0.000717 
-0.005517, 0.001636, 0.000732 
-0.005635, 0.001671, 0.000748 
-0.005751, 0.001706, 0.000763 
-0.005866, 0.001740, 0.000779 
-0.005982, 0.001774, 0.000794 
-0.006100, 0.001809, 0.000810 
-0.006215, 0.001843, 0.000825 
-0.006332, 0.001878, 0.000841 
-0.006446, 0.001912, 0.000856 
-0.006564, 0.001947, 0.000871 
-0.006680, 0.001981, 0.000887 
-0.006797, 0.002016, 0.000902 
-0.006912, 0.002050, 0.000918 
-0.007029, 0.002085, 0.000933 
-0.007145, 0.002119, 0.000949 
-0.007261, 0.002153, 0.000964 
-0.007377, 0.002188, 0.000979 
-0.007492, 0.002222, 0.000995 
-0.007611, 0.002257, 0.001010 
-0.007727, 0.002292, 0.001026 
-0.007848, 0.002327, 0.001042 
-0.007960, 0.002361, 0.001057 
-0.008077, 0.002395, 0.001072 
-0.008191, 0.002429, 0.001087 
-0.008306, 0.002463, 0.001103 
-0.008424, 0.002498, 0.001118 
-0.008867, 0.001280, 0.000418 
-0.008871, 0.001280, 0.000418 
-0.008987, 0.001284, 0.000416 
-0.009109, 0.001287, 0.000414 
-0.009232, 0.001291, 0.000412 
-0.009353, 0.001295, 0.000410 
