Time [s], X-Pos [m], Y-Pos [m], phi [rad], dphi [rad/s], Path Vel [m/s], v_l [rpm], v_r [rpm]
0,0,0,0,0,0,0,0
0.05,7.5747e-05,0,0,0,0.00454482,8,8
0.1,0.000605976,0,0,0,0.0181793,32,32
0.15,0.00204517,0,0,0,0.0409034,71,71
0.2,0.00484781,0,0,0,0.0727171,126,126
0.25,0.00946837,0,0,0,0.11362,197,197
0.3,0.0163613,0,0,0,0.163613,284,284
0.35,0.0259812,0,0,0,0.222696,387,387
0.4,0.0387524,0,0,0,0.287776,500,500
0.45,0.0546183,0,0,0,0.345345,600,600
0.5,0.0731354,0,0,0,0.393824,684,684
0.55,0.0938491,0,0,0,0.433213,752,752
0.6,0.116305,0,0,0,0.463513,805,805
0.65,0.140049,0,0,0,0.484723,842,842
0.7,0.164626,0,0,0,0.496843,863,863
0.75,0.189582,0,0,0,0.5,868,868
0.8,0.214582,0,0,0,0.5,868,868
0.85,0.239582,0,0,0,0.5,868,868
0.9,0.264582,0,0,0,0.5,868,868
0.95,0.289582,0,0,0,0.5,868,868
1,0.314582,0,0,0,0.5,868,868
1.05,0.339582,0,0,0,0.5,868,868
1.1,0.364582,0,0,0,0.5,868,868
1.15,0.389582,0,0,0,0.5,868,868
1.2,0.414582,0,0,0,0.5,868,868
1.25,0.439582,0,0,0,0.5,868,868
1.3,0.464582,0,0,0,0.5,868,868
1.35,0.489582,0,0,0,0.5,868,868
1.4,0.514582,0,0,0,0.5,868,868
1.45,0.539582,0,0,0,0.5,868,868
1.5,0.564582,0,0,0,0.5,868,868
1.55,0.589582,0,0,0,0.5,868,868
1.6,0.614582,0,0,0,0.5,868,868
1.65,0.639582,0,0,0,0.5,868,868
1.7,0.664582,0,0,0,0.5,868,868
1.75,0.689582,0,0,0,0.5,868,868
1.8,0.714582,0,0,0,0.5,868,868
1.85,0.739582,0,0,0,0.5,868,868
1.9,0.764582,0,0,0,0.5,868,868
1.95,0.789582,0,0,0,0.5,868,868
2,0.814582,0,0,0,0.5,868,868
2.05,0.839582,0,0,0,0.5,868,868
2.1,0.864582,0,0,0,0.5,868,868
2.15,0.889582,0,0,0,0.5,868,868
2.2,0.914582,0,0,0,0.5,868,868
2.25,0.939582,0,0,0,0.5,868,868
2.3,0.964582,0,0,0,0.5,868,868
2.35,0.989582,0,0,0,0.5,868,868
2.4,1.01458,0,0,0,0.5,868,868
2.45,1.03958,0,0,0,0.5,868,868
2.5,1.06458,0,0,0,0.5,868,868
2.55,1.08958,0,0,0,0.5,868,868
2.6,1.11458,0,0,0,0.5,868,868
2.65,1.13958,0,0,0,0.499338,867,867
2.7,1.16438,0,0,0,0.491324,853,853
2.75,1.18856,0,0,0,0.474221,823,823
2.8,1.21165,0,0,0,0.448028,778,778
2.85,1.23321,0,0,0,0.412826,717,717
2.9,1.25297,0,0,0,0.37925,658,658
2.95,1.27129,0,0,0,0.354763,616,616
3,1.2886,0,0,0,0.339366,589,589
3.05,1.30537,0,0,0,0.333059,578,578
3.1,1.32525,-3.57937e-06,-0.000645148,-0.0258059,0.332888,585,571
3.15,1.34189,-2.86349e-05,-0.00258059,-0.0516118,0.332888,593,563
3.2,1.35854,-9.66427e-05,-0.00580633,-0.0774177,0.332888,600,556
3.25,1.37518,-0.000229078,-0.0103224,-0.103224,0.332888,608,548
3.3,1.39182,-0.000447413,-0.0161287,-0.12903,0.332888,615,541
3.35,1.40846,-0.000773114,-0.0232253,-0.154835,0.332888,622,534
3.4,1.4251,-0.00122764,-0.0316122,-0.180641,0.332888,630,526
3.45,1.44174,-0.00183241,-0.0412895,-0.206447,0.332888,637,519
3.5,1.45836,-0.00260885,-0.052257,-0.232253,0.332888,645,511
3.55,1.47498,-0.0035783,-0.0645148,-0.258059,0.332888,652,504
3.6,1.49158,-0.00476207,-0.0780629,-0.283865,0.332888,659,497
3.65,1.50816,-0.00618134,-0.0929013,-0.309671,0.332888,667,489
3.7,1.52472,-0.0078572,-0.10903,-0.335477,0.332888,674,482
3.75,1.54125,-0.00981057,-0.126449,-0.361283,0.332888,681,474
3.8,1.55774,-0.0120622,-0.145158,-0.387089,0.332888,689,467
3.85,1.57419,-0.0146326,-0.165158,-0.412895,0.332888,696,460
3.9,1.59058,-0.0175418,-0.186448,-0.438701,0.332888,704,452
3.95,1.6069,-0.0208098,-0.209028,-0.464506,0.332888,711,445
4,1.62314,-0.0244559,-0.232898,-0.490312,0.332888,718,438
4.05,1.63928,-0.028499,-0.258059,-0.516118,0.332888,726,430
4.1,1.65532,-0.0329574,-0.28451,-0.541924,0.332888,733,423
4.15,1.67123,-0.0378485,-0.312252,-0.56773,0.332888,741,415
4.2,1.68699,-0.0431892,-0.341283,-0.593536,0.332888,748,408
4.25,1.70259,-0.0489953,-0.371605,-0.619342,0.332888,755,401
4.3,1.718,-0.0552815,-0.403217,-0.645148,0.332888,763,393
4.35,1.7332,-0.0620614,-0.43612,-0.670954,0.332888,770,386
4.4,1.74816,-0.0693474,-0.470313,-0.69676,0.332888,778,378
4.45,1.76286,-0.0771501,-0.505796,-0.722566,0.332888,785,371
4.5,1.77727,-0.0854787,-0.542569,-0.748371,0.332888,792,364
4.55,1.79136,-0.0943405,-0.580633,-0.774177,0.332888,800,356
4.6,1.8051,-0.103741,-0.619987,-0.799983,0.332888,807,349
4.65,1.81844,-0.113683,-0.660631,-0.825789,0.332888,815,341
4.7,1.83137,-0.124167,-0.702566,-0.851595,0.332888,822,334
