Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], dphi [rad/s], Path Vel [m/s]
0,-0.4,0,0,0,0,0,0
0.05,-0.399967,0,0,0.00197572,0,0,0.00197572
0.1,-0.399737,0,0,0.0079029,0,0,0.0079029
0.15,-0.399111,0,0,0.0177815,0,0,0.0177815
0.2,-0.397893,0,0,0.0316116,0,0,0.0316116
0.25,-0.395884,0,0,0.0493931,0,0,0.0493931
0.3,-0.392887,0,0,0.0711261,0,0,0.0711261
0.35,-0.388705,0,0,0.0968105,0,0,0.0968105
0.4,-0.38314,0,0,0.126446,0,0,0.126446
0.45,-0.375995,0,0,0.160034,0,0,0.160034
0.5,-0.367071,0,0,0.197572,0,0,0.197572
0.55,-0.356172,0,0,0.239063,0,0,0.239063
0.6,-0.343127,0,0,0.282275,0,0,0.282275
0.65,-0.328009,0,0,0.32178,0,0,0.32178
0.7,-0.311015,0,0,0.357333,0,0,0.357333
0.75,-0.292342,0,0,0.388936,0,0,0.388936
0.8,-0.272187,0,0,0.416586,0,0,0.416586
0.85,-0.250749,0,0,0.440286,0,0,0.440286
0.9,-0.228225,0,0,0.460034,0,0,0.460034
0.95,-0.204811,0,0,0.47583,0,0,0.47583
1,-0.180707,0,0,0.487675,0,0,0.487675
1.05,-0.15611,0,0,0.495569,0,0,0.495569
1.1,-0.131216,0,0,0.499511,0,0,0.499511
1.15,-0.10622,0,0,0.5,0,0,0.5
1.2,-0.0812204,0,0,0.5,0,0,0.5
1.25,-0.0562204,0,0,0.5,0,0,0.5
1.3,-0.0312204,0,0,0.5,0,0,0.5
1.35,-0.00622044,0,0,0.5,0,0,0.5
1.4,0.0187796,0,0,0.5,0,0,0.5
1.45,0.0437796,0,0,0.5,0,0,0.5
1.5,0.0687796,0,0,0.5,0,0,0.5
1.55,0.0937796,0,0,0.5,0,0,0.5
1.6,0.11878,0,0,0.5,0,0,0.5
1.65,0.14378,0,0,0.5,0,0,0.5
1.7,0.16878,0,0,0.5,0,0,0.5
1.75,0.19378,0,0,0.5,0,0,0.5
1.8,0.21878,0,0,0.5,0,0,0.5
1.85,0.24378,0,0,0.5,0,0,0.5
1.9,0.26878,0,0,0.5,0,0,0.5
1.95,0.29378,0,0,0.5,0,0,0.5
2,0.31878,0,0,0.5,0,0,0.5
2.05,0.34378,0,0,0.5,0,0,0.5
2.1,0.36878,0,0,0.5,0,0,0.5
2.15,0.39378,0,0,0.5,0,0,0.5
2.2,0.41878,0,0,0.5,0,0,0.5
2.25,0.44378,0,0,0.5,0,0,0.5
2.3,0.46878,0,0,0.5,0,0,0.5
2.35,0.49378,0,0,0.5,0,0,0.5
2.4,0.51878,0,0,0.5,0,0,0.5
2.45,0.54378,0,0,0.5,0,0,0.5
2.5,0.56878,0,0,0.5,0,0,0.5
2.55,0.59378,0,0,0.5,0,0,0.5
2.6,0.61878,0,0,0.5,0,0,0.5
2.65,0.64378,0,0,0.5,0,0,0.5
2.7,0.66878,0,0,0.5,0,0,0.5
2.75,0.69378,0,0,0.5,0,0,0.5
2.8,0.71878,0,0,0.5,0,0,0.5
2.85,0.74378,0,0,0.5,0,0,0.5
2.9,0.76878,0,0,0.5,0,0,0.5
2.95,0.79378,0,0,0.5,0,0,0.5
3,0.81878,0,0,0.5,0,0,0.5
3.05,0.84378,0,0,0.5,0,0,0.5
3.1,0.86878,0,0,0.5,0,0,0.5
3.15,0.89378,0,0,0.5,0,0,0.5
3.2,0.91878,0,0,0.5,0,0,0.5
3.25,0.94378,0,0,0.5,0,0,0.5
3.3,0.96878,0,0,0.5,0,0,0.5
3.35,0.99378,0,0,0.5,0,0,0.5
3.4,1.01878,0,0,0.5,0,0,0.5
3.45,1.04378,0,0,0.5,0,0,0.5
3.5,1.06878,0,0,0.5,0,0,0.5
3.55,1.09378,0,0,0.5,0,0,0.5
3.6,1.11878,0,0,0.5,0,0,0.5
3.65,1.14378,0,0,0.5,0,0,0.5
3.7,1.16878,0,0,0.5,0,0,0.5
3.75,1.19378,0,0,0.5,0,0,0.5
3.8,1.21878,0,0,0.5,0,0,0.5
3.85,1.24378,0,0,0.5,0,0,0.5
3.9,1.26878,0,0,0.5,0,0,0.5
3.95,1.29378,0,0,0.5,0,0,0.5
4,1.31878,0,0,0.5,0,0,0.5
4.05,1.34378,0,0,0.5,0,0,0.5
4.1,1.36878,0,0,0.5,0,0,0.5
4.15,1.39378,0,0,0.5,0,0,0.5
4.2,1.41878,0,0,0.5,0,0,0.5
4.25,1.44378,0,0,0.5,0,0,0.5
4.3,1.46878,0,0,0.5,0,0,0.5
4.35,1.49378,0,0,0.5,0,0,0.5
4.4,1.51878,0,0,0.5,0,0,0.5
4.45,1.54378,0,0,0.5,0,0,0.5
4.5,1.56878,0,0,0.5,0,0,0.5
4.55,1.59378,0,0,0.5,0,0,0.5
4.6,1.61878,0,0,0.5,0,0,0.5
4.65,1.64378,0,0,0.5,0,0,0.5
4.7,1.66878,0,0,0.5,0,0,0.5
4.75,1.69378,0,0,0.5,0,0,0.5
4.8,1.71878,0,0,0.5,0,0,0.5
4.85,1.74378,0,0,0.5,0,0,0.5
4.9,1.76878,0,0,0.5,0,0,0.5
4.95,1.79378,0,0,0.5,0,0,0.5
5,1.81878,0,0,0.5,0,0,0.5
