pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.399976, 1.09284e-05, -2.84354e-05, -0.000127287, -6.31155e-12, -0.000127287, -6.31155e-12, 2.3558e-05, 1.09284e-05, -2.84354e-05, -0.4, 0, 0, 1e-10, 0, -0.000127287, -6.31155e-12, -9.28994e-05, 4.76692e-07, -6.78021e-05, 1.82445e-06, -4.94849e-05, 3.92467e-06, -3.61162e-05, 6.66809e-06, -2.63592e-05, 9.95737e-06, -1.92381e-05, 1.37091e-05, -1.40408e-05, 1.78553e-05, -1.02476e-05, 2.23443e-05, -7.47912e-06, 2.70858e-05, -5.45859e-06, 3.11391e-05, -3.98392e-06, 3.42529e-05, -2.90765e-06, 3.65126e-05, -2.12213e-06, 3.79897e-05, -1.54883e-06, 3.87463e-05, -1.13041e-06, 3.88379e-05, -8.2503e-07, 3.83161e-05, -6.02148e-07, 3.72302e-05, -4.39478e-07, 3.5709e-05, -3.20754e-07, 3.41383e-05, -2.34103e-07, 3.25633e-05, -1.7086e-07, 3.09844e-05, -1.24703e-07, 2.94018e-05, -9.10141e-08, 2.78155e-05, -6.6426e-08, 2.62257e-05, -4.84797e-08, 2.46322e-05, -3.53809e-08, 2.30349e-05, -2.58197e-08, 2.14336e-05, -1.88402e-08, 1.98278e-05, -1.37444e-08, 1.82172e-05, -1.00228e-08, 1.66013e-05, -7.30345e-09, 1.49795e-05, -5.31428e-09, 1.33513e-05, -3.85647e-09, 1.17159e-05, -2.78426e-09, 1.00726e-05, -1.99043e-09, 8.42072e-06, -1.39562e-09, 6.75927e-06, -9.40369e-10, 5.08743e-06, -5.79183e-10, 3.40426e-06, -2.76017e-10, 1.70878e-06
-0.399976, 1.09284e-05, -2.84354e-05, 0.00202637, 4.78913e-07, 5.06468e-05, 4.78913e-07, -9.3736e-06, 1.09284e-05, -2.84354e-05, -0.399967, 0, 0, 0.00197572, 0, 5.06468e-05, 4.78913e-07, 3.69643e-05, 1.83338e-06, 2.69781e-05, 3.94486e-06, 1.96898e-05, 6.70423e-06, 1.43705e-05, 1.00145e-05, 1.04882e-05, 1.37927e-05, 7.65474e-06, 1.79714e-05, 5.58676e-06, 2.25002e-05, 4.07746e-06, 2.72893e-05, 2.9759e-06, 3.13923e-05, 2.17195e-06, 3.45552e-05, 1.58518e-06, 3.68633e-05, 1.15694e-06, 3.83878e-05, 8.44387e-07, 3.919e-05, 6.16273e-07, 3.93249e-05, 4.49786e-07, 3.88427e-05, 3.28276e-07, 3.77919e-05, 2.39592e-07, 3.6301e-05, 1.74866e-07, 3.47613e-05, 1.27626e-07, 3.32185e-05, 9.31484e-08, 3.1673e-05, 6.79846e-08, 3.01253e-05, 4.96186e-08, 2.85753e-05, 3.62141e-08, 2.70232e-05, 2.64306e-08, 2.5469e-05, 1.92899e-08, 2.39126e-05, 1.40779e-08, 2.23537e-05, 1.02735e-08, 2.07922e-05, 7.49642e-09, 1.92276e-05, 5.46883e-09, 1.76595e-05, 3.98804e-09, 1.60875e-05, 2.90601e-09, 1.4511e-05, 2.11453e-09, 1.29293e-05, 1.53447e-09, 1.13418e-05, 1.10784e-09, 9.7478e-06, 7.91982e-10, 8.14648e-06, 5.5531e-10, 6.53702e-06, 3.74168e-10, 4.91857e-06, 2.30454e-10, 3.29022e-06, 1.09826e-10, 1.65101e-06
-0.399976, 1.09284e-05, -2.84354e-05, 0.00919892, 1.84105e-06, 0.00129602, 1.84105e-06, -0.000239865, 1.09284e-05, -2.84354e-05, -0.399737, 0, 0, 0.0079029, 0, 0.00129602, 1.84105e-06, 0.000945893, 3.96226e-06, 0.000690354, 6.73542e-06, 0.00050385, 1.00638e-05, 0.000367732, 1.3865e-05, 0.000268387, 1.80724e-05, 0.00019588, 2.26361e-05, 0.000142962, 2.74676e-05, 0.00010434, 3.1615e-05, 7.61516e-05, 3.48224e-05, 5.55788e-05, 3.71748e-05, 4.05639e-05, 3.87429e-05, 2.96054e-05, 3.95877e-05, 2.16073e-05, 3.97629e-05, 1.57701e-05, 3.93181e-05, 1.15097e-05, 3.83005e-05, 8.40037e-06, 3.68386e-05, 6.13101e-06, 3.53283e-05, 4.47472e-06, 3.38161e-05, 3.26588e-06, 3.23025e-05, 2.38361e-06, 3.07876e-05, 1.73968e-06, 2.92719e-05, 1.26971e-06, 2.77554e-05, 9.26696e-07, 2.62382e-05, 6.76342e-07, 2.47201e-05, 4.93616e-07, 2.32011e-05, 3.60245e-07, 2.1681e-05, 2.62894e-07, 2.01595e-05, 1.91829e-07, 1.86361e-05, 1.39944e-07, 1.71105e-05, 1.02052e-07, 1.55821e-05, 7.43629e-08, 1.40504e-05, 5.41095e-08, 1.25149e-05, 3.92662e-08, 1.09747e-05, 2.8349e-08, 9.42929e-06, 2.02663e-08, 7.87779e-06, 1.42101e-08, 6.31944e-06, 9.57474e-09, 4.75338e-06, 5.89718e-09, 3.17873e-06, 2.81038e-09, 1.59458e-06
-0.399976, 1.09284e-05, -2.84354e-05, 0.0224581, 3.97569e-06, 0.00467659, 3.97569e-06, -0.000865535, 1.09284e-05, -2.84354e-05, -0.399111, 0, 0, 0.0177815, 0, 0.00467659, 3.97569e-06, 0.00341319, 6.75965e-06, 0.00249109, 1.01024e-05, 0.00181811, 1.39219e-05, 0.00132693, 1.81523e-05, 0.000968454, 2.27449e-05, 0.000706819, 2.7612e-05, 0.000515867, 3.17978e-05, 0.000376502, 3.50446e-05, 0.000274788, 3.74371e-05, 0.000200552, 3.90457e-05, 0.000146372, 3.99304e-05, 0.000106829, 4.01442e-05, 7.79686e-05, 3.97357e-05, 5.69051e-05, 3.87507e-05, 4.15321e-05, 3.73177e-05, 3.03121e-05, 3.58366e-05, 2.21233e-05, 3.43546e-05, 1.61467e-05, 3.28719e-05, 1.17847e-05, 3.13892e-05, 8.60109e-06, 2.99066e-05, 6.27752e-06, 2.84243e-05, 4.58166e-06, 2.69425e-05, 3.34392e-06, 2.54611e-05, 2.44053e-06, 2.39801e-05, 1.78118e-06, 2.24992e-05, 1.29992e-06, 2.10183e-05, 9.48633e-07, 1.95371e-05, 6.922e-07, 1.8055e-05, 5.04978e-07, 1.65719e-05, 3.68246e-07, 1.5087e-05, 2.68333e-07, 1.35999e-05, 1.9525e-07, 1.21099e-05, 1.41689e-07, 1.06165e-05, 1.02295e-07, 9.1188e-06, 7.31296e-08, 7.61618e-06, 5.1276e-08, 6.10781e-06, 3.45497e-08, 4.59288e-06, 2.12796e-08, 3.07053e-06, 1.01411e-08, 1.53987e-06
-0.399976, 1.09284e-05, -2.84354e-05, 0.0428711, 6.77528e-06, 0.0112595, 6.77528e-06, -0.00208388, 1.09284e-05, -2.84354e-05, -0.397893, 0, 0, 0.0316116, 0, 0.0112595, 6.77528e-06, 0.00821767, 1.01276e-05, 0.00599762, 1.39598e-05, 0.00437732, 1.82067e-05, 0.00319476, 2.28208e-05, 0.00233167, 2.77158e-05, 0.00170176, 3.19331e-05, 0.00124201, 3.52139e-05, 0.000906476, 3.76426e-05, 0.000661585, 3.92888e-05, 0.000482854, 4.02116e-05, 0.000352409, 4.04632e-05, 0.000257204, 4.00908e-05, 0.000187719, 3.9139e-05, 0.000137006, 3.7736e-05, 9.99937e-05, 3.62849e-05, 7.29803e-05, 3.48334e-05, 5.32646e-05, 3.33821e-05, 3.88752e-05, 3.19314e-05, 2.83731e-05, 3.04817e-05, 2.07082e-05, 2.90331e-05, 1.51139e-05, 2.75859e-05, 1.10309e-05, 2.61401e-05, 8.0509e-06, 2.46957e-05, 5.87589e-06, 2.32526e-05, 4.28841e-06, 2.18105e-05, 3.12971e-06, 2.03693e-05, 2.28395e-06, 1.89286e-05, 1.66656e-06, 1.74881e-05, 1.2158e-06, 1.60472e-05, 8.86598e-07, 1.46055e-05, 6.46046e-07, 1.31624e-05, 4.70089e-07, 1.17173e-05, 3.41135e-07, 1.02697e-05, 2.46289e-07, 8.81869e-06, 1.76069e-07, 7.36367e-06, 1.23453e-07, 5.90384e-06, 8.31828e-08, 4.43841e-06, 5.12332e-08, 2.96653e-06, 2.44159e-08, 1.48736e-06
-0.399969, 1.45536e-05, -3.79721e-05, 0.0714632, 1.35683e-05, 0.0220701, 1.35683e-05, -0.00408469, 1.45536e-05, -3.79721e-05, -0.395884, 0, 0, 0.0493931, 0, 0.0220701, 1.35683e-05, 0.0161077, 1.87065e-05, 0.0117561, 2.44039e-05, 0.00858013, 3.05981e-05, 0.00626215, 3.7175e-05, 0.00457039, 4.28503e-05, 0.00333567, 4.72764e-05, 0.00243451, 5.05656e-05, 0.00177681, 5.28103e-05, 0.00129679, 5.40888e-05, 0.000946458, 5.44694e-05, 0.000690767, 5.4014e-05, 0.000504153, 5.27808e-05, 0.000367954, 5.09406e-05, 0.00026855, 4.90366e-05, 0.000196001, 4.71331e-05, 0.000143051, 4.52309e-05, 0.000104406, 4.33306e-05, 7.62006e-05, 4.14327e-05, 5.56151e-05, 3.95377e-05, 4.05908e-05, 3.76458e-05, 2.96253e-05, 3.57572e-05, 2.1622e-05, 3.38718e-05, 1.57808e-05, 3.19896e-05, 1.15175e-05, 3.01105e-05, 8.40584e-06, 2.82341e-05, 6.13465e-06, 2.636e-05, 4.47685e-06, 2.4488e-05, 3.26667e-06, 2.26173e-05, 2.38312e-06, 2.07475e-05, 1.73785e-06, 1.88778e-05, 1.26634e-06, 1.70075e-05, 9.21437e-07, 1.51358e-05, 6.68669e-07, 1.32619e-05, 4.82759e-07, 1.13849e-05, 3.45118e-07, 9.5037e-06, 2.41985e-07, 7.61744e-06, 1.63049e-07, 5.72503e-06, 1.00424e-07, 3.8254e-06, 4.78583e-08, 1.91744e-06
-0.399961, 1.83694e-05, -4.79857e-05, 0.109344, 2.36613e-05, 0.0382184, 2.36613e-05, -0.00707338, 1.83694e-05, -4.79857e-05, -0.392887, 0, 0, 0.0711261, 0, 0.0382184, 2.36613e-05, 0.0278934, 3.08739e-05, 0.0203579, 3.87208e-05, 0.0148581, 4.70608e-05, 0.0108441, 5.42698e-05, 0.00791446, 5.99079e-05, 0.00577631, 6.41159e-05, 0.0042158, 6.70093e-05, 0.00307687, 6.86851e-05, 0.00224564, 6.92276e-05, 0.00163896, 6.87126e-05, 0.00119619, 6.72111e-05, 0.000873033, 6.49377e-05, 0.000637179, 6.25832e-05, 0.000465043, 6.02295e-05, 0.000339411, 5.78779e-05, 0.000247719, 5.55292e-05, 0.000180797, 5.31841e-05, 0.000131955, 5.08434e-05, 9.63077e-05, 4.85073e-05, 7.02903e-05, 4.61763e-05, 5.13016e-05, 4.38504e-05, 3.74425e-05, 4.15296e-05, 2.73274e-05, 3.92138e-05, 1.99447e-05, 3.69028e-05, 1.45562e-05, 3.45962e-05, 1.06233e-05, 3.22935e-05, 7.75248e-06, 2.99941e-05, 5.65684e-06, 2.76975e-05, 4.12681e-06, 2.54028e-05, 3.0094e-06, 2.31092e-05, 2.19289e-06, 2.08158e-05, 1.59564e-06, 1.85216e-05, 1.15792e-06, 1.62255e-05, 8.35985e-07, 1.39265e-05, 5.97634e-07, 1.16232e-05, 4.19041e-07, 9.31462e-06, 2.8235e-07, 6.99933e-06, 1.73902e-07, 4.67604e-06, 8.28754e-08, 2.3434e-06
-0.399725, 7.27928e-05, -0.000198189, 0.156353, 0.000131935, 0.0595425, 0.000131935, -0.01102, 7.27928e-05, -0.000198189, -0.388705, 0, 0, 0.0968105, 0, 0.0595425, 0.000131935, 0.0434567, 0.000165529, 0.0317166, 0.000201197, 0.0231482, 0.000231972, 0.0168945, 0.000255961, 0.0123304, 0.000273773, 0.00899923, 0.000285915, 0.00656803, 0.000292824, 0.00479363, 0.000294884, 0.0034986, 0.000292443, 0.00255343, 0.000285829, 0.00186361, 0.000275972, 0.00136015, 0.000265813, 0.000992697, 0.0002557, 0.000724517, 0.000245635, 0.000528787, 0.000235621, 0.000385935, 0.000225662, 0.000281674, 0.000215759, 0.00020558, 0.000205911, 0.000150043, 0.000196121, 0.000109509, 0.000186388, 7.99255e-05, 0.000176712, 5.83337e-05, 0.00016709, 4.25748e-05, 0.000157522, 3.10729e-05, 0.000148007, 2.2678e-05, 0.00013854, 1.65506e-05, 0.000129121, 1.2078e-05, 0.000119745, 8.8131e-06, 0.00011041, 6.42938e-06, 0.000101112, 4.68851e-06, 9.18471e-05, 3.41642e-06, 8.26109e-05, 2.48593e-06, 7.33991e-05, 1.80399e-06, 6.42072e-05, 1.30243e-06, 5.50304e-05, 9.31087e-07, 4.58638e-05, 6.52846e-07, 3.67022e-05, 4.39888e-07, 2.75405e-05, 2.70932e-07, 1.83732e-05, 1.29116e-07, 9.19487e-06
-0.399011, 9.53065e-05, -0.000297372, 0.212199, 0.000275204, 0.0857529, 0.000275204, -0.015871, 9.53065e-05, -0.000297372, -0.38314, 0, 0, 0.126446, 0, 0.0857529, 0.000275204, 0.0625863, 0.000334371, 0.0456782, 0.000384994, 0.033338, 0.000423886, 0.0243315, 0.000452089, 0.0177582, 0.000470538, 0.0129607, 0.000480081, 0.00945925, 0.0004815, 0.00690377, 0.000475523, 0.00503867, 0.000462836, 0.00367745, 0.000445071, 0.00268396, 0.000427016, 0.00195888, 0.000409225, 0.00142968, 0.000391697, 0.00104345, 0.00037443, 0.000761558, 0.000357423, 0.000555822, 0.000340671, 0.000405667, 0.000324172, 0.000296076, 0.00030792, 0.000216092, 0.000291911, 0.000157715, 0.00027614, 0.000115109, 0.000260602, 8.40121e-05, 0.000245289, 6.13161e-05, 0.000230196, 4.47511e-05, 0.000215316, 3.26608e-05, 0.000200642, 2.38361e-05, 0.000186166, 1.73947e-05, 0.000171882, 1.26926e-05, 0.000157782, 9.25958e-06, 0.000143858, 6.75238e-06, 0.000130101, 4.92032e-06, 0.000116505, 3.58023e-06, 0.000103061, 2.5981e-06, 8.976e-05, 1.87575e-06, 7.6595e-05, 1.34095e-06, 6.35575e-05, 9.40228e-07, 5.06393e-05, 6.33525e-07, 3.78324e-05, 3.90195e-07, 2.51288e-05, 1.85953e-07, 1.25206e-05
-0.397733, 0.000106173, -0.000401799, 0.277153, 0.000508588, 0.117444, 0.000508588, -0.0217363, 0.000106173, -0.000401799, -0.375997, 0, 0, 0.159709, 0, 0.117444, 0.000508588, 0.0857158, 0.000584781, 0.0625592, 0.000642427, 0.0456584, 0.000683158, 0.0333235, 0.00070853, 0.0243209, 0.000720024, 0.0177505, 0.00071905, 0.012955, 0.000706944, 0.00945515, 0.000684967, 0.00690078, 0.00065574, 0.00503649, 0.000626387, 0.00367586, 0.000597716, 0.00268281, 0.000569716, 0.00195804, 0.000542374, 0.00142907, 0.000515675, 0.001043, 0.000489606, 0.000761233, 0.000464152, 0.000555586, 0.0004393, 0.000405495, 0.000415034, 0.000295951, 0.000391339, 0.000216, 0.000368201, 0.000157648, 0.000345605, 0.00011506, 0.000323535, 8.39763e-05, 0.000301976, 6.12895e-05, 0.000280914, 4.4731e-05, 0.000260334, 3.2645e-05, 0.000240221, 2.38232e-05, 0.00022056, 1.73833e-05, 0.000201337, 1.26816e-05, 0.000182538, 9.24781e-06, 0.000164149, 6.73869e-06, 0.000146156, 4.90335e-06, 0.000128547, 3.55827e-06, 0.000111308, 2.56896e-06, 9.44259e-05, 1.83652e-06, 7.78899e-05, 1.2877e-06, 6.16877e-05, 8.67653e-07, 4.58081e-05, 5.34397e-07, 3.02404e-05, 2.54674e-07, 1.49741e-05
