pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad], v_k+40 [m/s], delta_k+40 [rad], v_k+41 [m/s], delta_k+41 [rad], v_k+42 [m/s], delta_k+42 [rad], v_k+43 [m/s], delta_k+43 [rad], v_k+44 [m/s], delta_k+44 [rad], v_k+45 [m/s], delta_k+45 [rad], v_k+46 [m/s], delta_k+46 [rad], v_k+47 [m/s], delta_k+47 [rad], v_k+48 [m/s], delta_k+48 [rad], v_k+49 [m/s], delta_k+49 [rad], v_k+50 [m/s], delta_k+50 [rad], v_k+51 [m/s], delta_k+51 [rad], v_k+52 [m/s], delta_k+52 [rad], v_k+53 [m/s], delta_k+53 [rad], v_k+54 [m/s], delta_k+54 [rad], v_k+55 [m/s], delta_k+55 [rad], v_k+56 [m/s], delta_k+56 [rad], v_k+57 [m/s], delta_k+57 [rad], v_k+58 [m/s], delta_k+58 [rad], v_k+59 [m/s], delta_k+59 [rad]
-0.4, 0, 0, -1.12396e-08, 0, -1.13396e-08, 0, 5.96046e-09, 0, 0, -0.4, 0, 0, 1e-10, 0, -1.13396e-08, 0, -1.0261e-08, 0, -9.28486e-09, 0, -8.40162e-09, 0, -7.6024e-09, 0, -6.8792e-09, 0, -6.22479e-09, 0, -5.63263e-09, 0, -5.0968e-09, 0, -4.61194e-09, 0, -4.17319e-09, 0, -3.77618e-09, 0, -3.41693e-09, 0, -3.09185e-09, 0, -2.79768e-09, 0, -2.5315e-09, 0, -2.29063e-09, 0, -2.07266e-09, 0, -1.87542e-09, 0, -1.69694e-09, 0, -1.53542e-09, 0, -1.38926e-09, 0, -1.257e-09, 0, -1.1373e-09, 0, -1.02897e-09, 0, -9.30937e-10, 0, -8.42211e-10, 0, -7.61907e-10, 0, -6.89222e-10, 0, -6.2343e-10, 0, -5.63872e-10, 0, -5.09952e-10, 0, -4.61132e-10, 0, -4.16923e-10, 0, -3.76884e-10, 0, -3.40613e-10, 0, -3.07749e-10, 0, -2.77962e-10, 0, -2.50954e-10, 0, -2.26457e-10, 0, -2.04223e-10, 0, -1.84032e-10, 0, -1.65682e-10, 0, -1.48988e-10, 0, -1.33784e-10, 0, -1.19918e-10, 0, -1.07251e-10, 0, -9.5656e-11, 0, -8.50181e-11, 0, -7.52303e-11, 0, -6.61949e-11, 0, -5.78214e-11, 0, -5.00261e-11, 0, -4.27311e-11, 0, -3.58633e-11, 0, -2.93543e-11, 0, -2.31387e-11, 0, -1.71546e-11, 0, -1.1342e-11, 0, -5.64276e-12, 0
-0.4, 0, 0, 0.00203836, 0, 6.26402e-05, 0, -3.29256e-05, 0, 0, -0.399967, 0, 0, 0.00197572, 0, 6.26402e-05, 0, 5.66815e-05, 0, 5.12896e-05, 0, 4.64106e-05, 0, 4.19957e-05, 0, 3.80007e-05, 0, 3.43857e-05, 0, 3.11147e-05, 0, 2.81547e-05, 0, 2.54763e-05, 0, 2.30527e-05, 0, 2.08596e-05, 0, 1.88751e-05, 0, 1.70794e-05, 0, 1.54544e-05, 0, 1.3984e-05, 0, 1.26534e-05, 0, 1.14494e-05, 0, 1.03598e-05, 0, 9.37389e-06, 0, 8.48168e-06, 0, 7.67429e-06, 0, 6.94364e-06, 0, 6.28243e-06, 0, 5.68404e-06, 0, 5.1425e-06, 0, 4.65237e-06, 0, 4.20878e-06, 0, 3.80726e-06, 0, 3.44383e-06, 0, 3.11483e-06, 0, 2.81698e-06, 0, 2.54729e-06, 0, 2.30308e-06, 0, 2.08191e-06, 0, 1.88155e-06, 0, 1.7e-06, 0, 1.53546e-06, 0, 1.38627e-06, 0, 1.25095e-06, 0, 1.12813e-06, 0, 1.01659e-06, 0, 9.15225e-07, 0, 8.23008e-07, 0, 7.39021e-07, 0, 6.62424e-07, 0, 5.92452e-07, 0, 5.28404e-07, 0, 4.6964e-07, 0, 4.15572e-07, 0, 3.65661e-07, 0, 3.19405e-07, 0, 2.76344e-07, 0, 2.36046e-07, 0, 1.98109e-07, 0, 1.62153e-07, 0, 1.27818e-07, 0, 9.47618e-08, 0, 6.26529e-08, 0, 3.11706e-08, 0
-0.4, 0, 0, 0.00840404, 0, 0.000501144, 0, -0.000263417, 0, 0, -0.399737, 0, 0, 0.0079029, 0, 0.000501144, 0, 0.000453472, 0, 0.000410335, 0, 0.000371301, 0, 0.00033598, 0, 0.000304019, 0, 0.000275098, 0, 0.000248929, 0, 0.000225248, 0, 0.00020382, 0, 0.00018443, 0, 0.000166884, 0, 0.000151008, 0, 0.000136641, 0, 0.000123641, 0, 0.000111877, 0, 0.000101232, 0, 9.15992e-05, 0, 8.28825e-05, 0, 7.49945e-05, 0, 6.78565e-05, 0, 6.13971e-05, 0, 5.55517e-05, 0, 5.02617e-05, 0, 4.54744e-05, 0, 4.11418e-05, 0, 3.72207e-05, 0, 3.36717e-05, 0, 3.04595e-05, 0, 2.75519e-05, 0, 2.49197e-05, 0, 2.25368e-05, 0, 2.03793e-05, 0, 1.84255e-05, 0, 1.6656e-05, 0, 1.50531e-05, 0, 1.36007e-05, 0, 1.22842e-05, 0, 1.10907e-05, 0, 1.0008e-05, 0, 9.02545e-06, 0, 8.13313e-06, 0, 7.32213e-06, 0, 6.58436e-06, 0, 5.91244e-06, 0, 5.29964e-06, 0, 4.73983e-06, 0, 4.22742e-06, 0, 3.75729e-06, 0, 3.32473e-06, 0, 2.92542e-06, 0, 2.55536e-06, 0, 2.21085e-06, 0, 1.88846e-06, 0, 1.58494e-06, 0, 1.29728e-06, 0, 1.02259e-06, 0, 7.58129e-07, 0, 5.01246e-07, 0, 2.49376e-07, 0
-0.4, 0, 0, 0.019473, 0, 0.00169147, 0, -0.000889087, 0, 0, -0.399111, 0, 0, 0.0177815, 0, 0.00169147, 0, 0.00153056, 0, 0.00138497, 0, 0.00125322, 0, 0.001134, 0, 0.00102613, 0, 0.000928515, 0, 0.000840186, 0, 0.000760259, 0, 0.000687935, 0, 0.00062249, 0, 0.00056327, 0, 0.000509683, 0, 0.000461192, 0, 0.000417314, 0, 0.000377608, 0, 0.000341679, 0, 0.000309167, 0, 0.000279746, 0, 0.000253122, 0, 0.00022903, 0, 0.000207228, 0, 0.000187498, 0, 0.000169644, 0, 0.000153486, 0, 0.000138862, 0, 0.000125628, 0, 0.000113649, 0, 0.000102807, 0, 9.29933e-05, 0, 8.41093e-05, 0, 7.60665e-05, 0, 6.87843e-05, 0, 6.219e-05, 0, 5.62175e-05, 0, 5.08072e-05, 0, 4.5905e-05, 0, 4.14619e-05, 0, 3.74334e-05, 0, 3.37792e-05, 0, 3.04628e-05, 0, 2.7451e-05, 0, 2.47137e-05, 0, 2.22236e-05, 0, 1.99557e-05, 0, 1.78874e-05, 0, 1.59979e-05, 0, 1.42684e-05, 0, 1.26816e-05, 0, 1.12217e-05, 0, 9.87389e-06, 0, 8.62487e-06, 0, 7.46209e-06, 0, 6.37394e-06, 0, 5.34952e-06, 0, 4.3786e-06, 0, 3.45146e-06, 0, 2.55884e-06, 0, 1.69181e-06, 0, 8.41697e-07, 0
-0.4, 0, 0, 0.0356209, 0, 0.00400935, 0, -0.00210744, 0, 0, -0.397893, 0, 0, 0.0316116, 0, 0.00400935, 0, 0.00362795, 0, 0.00328284, 0, 0.00297055, 0, 0.00268797, 0, 0.00243227, 0, 0.00220089, 0, 0.00199152, 0, 0.00180207, 0, 0.00163064, 0, 0.00147551, 0, 0.00133514, 0, 0.00120812, 0, 0.00109318, 0, 0.000989174, 0, 0.000895059, 0, 0.000809895, 0, 0.000732829, 0, 0.000663092, 0, 0.000599985, 0, 0.000542878, 0, 0.0004912, 0, 0.000444435, 0, 0.000402113, 0, 0.000363813, 0, 0.00032915, 0, 0.00029778, 0, 0.000269387, 0, 0.000243688, 0, 0.000220425, 0, 0.000199368, 0, 0.000180303, 0, 0.000163042, 0, 0.000147411, 0, 0.000133254, 0, 0.00012043, 0, 0.00010881, 0, 9.82787e-05, 0, 8.87297e-05, 0, 8.0068e-05, 0, 7.22071e-05, 0, 6.50681e-05, 0, 5.85799e-05, 0, 5.26774e-05, 0, 4.73018e-05, 0, 4.23991e-05, 0, 3.79205e-05, 0, 3.3821e-05, 0, 3.00598e-05, 0, 2.65991e-05, 0, 2.34045e-05, 0, 2.04438e-05, 0, 1.76877e-05, 0, 1.51084e-05, 0, 1.26802e-05, 0, 1.03788e-05, 0, 8.18113e-06, 0, 6.06532e-06, 0, 4.01016e-06, 0, 1.99511e-06, 0
-0.399992, 3.44694e-06, -8.88506e-06, 0.0572089, 8.15558e-07, 0.00781583, 8.15558e-07, -0.00410824, 3.44694e-06, -8.88506e-06, -0.395884, 0, 0, 0.0493931, 0, 0.00781583, 8.15558e-07, 0.00707234, 1.15337e-06, 0.00639957, 1.54286e-06, 0.0057908, 1.9814e-06, 0.00523994, 2.46167e-06, 0.00474147, 2.89708e-06, 0.00429042, 3.25907e-06, 0.00388228, 3.55019e-06, 0.00351296, 3.77283e-06, 0.00317877, 3.92934e-06, 0.00287636, 4.02211e-06, 0.00260272, 4.0537e-06, 0.00235511, 4.02681e-06, 0.00213105, 3.95296e-06, 0.0019283, 3.87276e-06, 0.00174483, 3.79117e-06, 0.00157881, 3.70828e-06, 0.00142858, 3.62419e-06, 0.00129263, 3.53898e-06, 0.00116961, 3.45276e-06, 0.00105829, 3.36561e-06, 0.000957547, 3.27761e-06, 0.000866381, 3.18885e-06, 0.00078388, 3.09941e-06, 0.000709217, 3.00938e-06, 0.000641646, 2.91884e-06, 0.000580492, 2.82787e-06, 0.000525143, 2.73654e-06, 0.000475045, 2.64494e-06, 0.000429698, 2.55314e-06, 0.000388647, 2.46121e-06, 0.000351483, 2.36923e-06, 0.000317834, 2.27728e-06, 0.000287364, 2.18543e-06, 0.000259766, 2.09374e-06, 0.000234767, 2.0023e-06, 0.000212115, 1.91117e-06, 0.000191585, 1.82043e-06, 0.00017297, 1.73013e-06, 0.000156085, 1.64037e-06, 0.000140761, 1.5512e-06, 0.000126844, 1.46269e-06, 0.000114196, 1.37491e-06, 0.000102689, 1.28794e-06, 9.22101e-05, 1.20183e-06, 8.26529e-05, 1.11667e-06, 7.39222e-05, 1.03252e-06, 6.59307e-05, 9.49446e-07, 5.85985e-05, 8.67522e-07, 5.18524e-05, 7.86817e-07, 4.56247e-05, 7.07401e-07, 3.98533e-05, 6.29346e-07, 3.44804e-05, 5.52722e-07, 2.94523e-05, 4.77601e-07, 2.47187e-05, 4.04055e-07, 2.02324e-05, 3.32158e-07, 1.59483e-05, 2.61983e-07, 1.18237e-05, 1.93604e-07, 7.81742e-06, 1.27097e-07, 3.88926e-06, 6.25922e-08
-0.399655, 7.66788e-05, -0.000203435, 0.0840013, 2.75344e-05, 0.0128752, 2.75344e-05, -0.00676761, 7.66788e-05, -0.000203435, -0.392887, 0, 0, 0.0711261, 0, 0.0128752, 2.75344e-05, 0.0116505, 3.68329e-05, 0.0105422, 4.73086e-05, 0.00953935, 5.87758e-05, 0.00863189, 6.91635e-05, 0.00781076, 7.77881e-05, 0.00706773, 8.4711e-05, 0.00639539, 8.99912e-05, 0.00578699, 9.36875e-05, 0.00523647, 9.58604e-05, 0.00473831, 9.65738e-05, 0.00428754, 9.58961e-05, 0.00387964, 9.41042e-05, 0.00351054, 9.21656e-05, 0.00317654, 9.01984e-05, 0.00287431, 8.82046e-05, 0.00260082, 8.61865e-05, 0.00235334, 8.41461e-05, 0.00212939, 8.20853e-05, 0.00192673, 8.00062e-05, 0.00174335, 7.79106e-05, 0.00157739, 7.58006e-05, 0.00142721, 7.36779e-05, 0.00129131, 7.15445e-05, 0.00116831, 6.9402e-05, 0.001057, 6.72523e-05, 0.000956261, 6.50971e-05, 0.000865082, 6.29382e-05, 0.000782555, 6.07772e-05, 0.000707853, 5.86158e-05, 0.000640229, 5.64557e-05, 0.000579008, 5.42985e-05, 0.000523577, 5.21458e-05, 0.000473382, 4.99992e-05, 0.00042792, 4.78603e-05, 0.000386738, 4.57306e-05, 0.000349423, 4.36118e-05, 0.000315603, 4.15053e-05, 0.000284938, 3.94128e-05, 0.000257123, 3.73356e-05, 0.000231879, 3.52755e-05, 0.000208953, 3.32338e-05, 0.000188118, 3.12122e-05, 0.000169163, 2.9212e-05, 0.0001519, 2.7235e-05, 0.000136156, 2.52824e-05, 0.000121774, 2.3356e-05, 0.000108609, 2.14572e-05, 9.6531e-05, 1.95876e-05, 8.54178e-05, 1.77487e-05, 7.51588e-05, 1.5942e-05, 6.56514e-05, 1.41692e-05, 5.68005e-05, 1.24317e-05, 4.85176e-05, 1.07312e-05, 4.07199e-05, 9.06934e-06, 3.33293e-05, 7.44765e-06, 2.62721e-05, 5.86779e-06, 1.94776e-05, 4.33143e-06, 1.28778e-05, 2.84021e-06, 6.40689e-06, 1.39712e-06
-0.398697, -4.21661e-06, -3.36806e-05, 0.11582, 1.17814e-05, 0.0190092, 1.17814e-05, -0.00999181, -4.21661e-06, -3.36806e-05, -0.388705, 0, 0, 0.0968105, 0, 0.0190092, 1.17814e-05, 0.0172009, 1.50955e-05, 0.0155647, 1.86623e-05, 0.014084, 2.17965e-05, 0.0127443, 2.42777e-05, 0.0115319, 2.61343e-05, 0.0104349, 2.74024e-05, 0.00944225, 2.81233e-05, 0.00854401, 2.83427e-05, 0.00773121, 2.81086e-05, 0.00699572, 2.74701e-05, 0.00633019, 2.65319e-05, 0.00572796, 2.55774e-05, 0.00518301, 2.464e-05, 0.00468989, 2.37197e-05, 0.00424367, 2.28166e-05, 0.00383989, 2.19306e-05, 0.0034745, 2.10618e-05, 0.00314386, 2.02103e-05, 0.00284466, 1.93761e-05, 0.0025739, 1.85591e-05, 0.00232889, 1.77593e-05, 0.00210716, 1.69769e-05, 0.00190651, 1.62117e-05, 0.00172492, 1.54637e-05, 0.00156057, 1.47331e-05, 0.00141184, 1.40196e-05, 0.00127722, 1.33234e-05, 0.00115538, 1.26444e-05, 0.00104509, 1.19827e-05, 0.000945245, 1.13381e-05, 0.000854857, 1.07107e-05, 0.000773018, 1.01004e-05, 0.000698909, 9.5073e-06, 0.000631789, 8.93131e-06, 0.000570986, 8.37244e-06, 0.000515894, 7.83067e-06, 0.000465961, 7.306e-06, 0.000420687, 6.79842e-06, 0.00037962, 6.30793e-06, 0.000342349, 5.83453e-06, 0.000308502, 5.37822e-06, 0.00027774, 4.93902e-06, 0.000249755, 4.51693e-06, 0.000224268, 4.11197e-06, 0.000201024, 3.72417e-06, 0.000179789, 3.35356e-06, 0.000160353, 3.00016e-06, 0.00014252, 2.66401e-06, 0.000126112, 2.34517e-06, 0.000110966, 2.04369e-06, 9.69288e-05, 1.75962e-06, 8.38611e-05, 1.49303e-06, 7.16321e-05, 1.24399e-06, 6.01194e-05, 1.01259e-06, 4.9208e-05, 7.98912e-07, 3.87885e-05, 6.03052e-07, 2.8757e-05, 4.25117e-07, 1.90131e-05, 2.65216e-07, 9.45923e-06, 1.23876e-07
-0.396996, -7.72744e-06, -8.2318e-05, 0.152806, 3.68196e-05, 0.0263601, 3.68196e-05, -0.0138557, -7.72744e-06, -8.2318e-05, -0.38314, 0, 0, 0.126446, 0, 0.0263601, 3.68196e-05, 0.0238526, 4.55278e-05, 0.0215836, 5.32024e-05, 0.0195304, 5.92964e-05, 0.0176725, 6.38776e-05, 0.0159914, 6.70311e-05, 0.0144701, 6.88552e-05, 0.0130936, 6.94578e-05, 0.011848, 6.89523e-05, 0.0107209, 6.74553e-05, 0.009701, 6.52204e-05, 0.00877811, 6.29424e-05, 0.00794299, 6.07031e-05, 0.00718731, 5.85027e-05, 0.0065035, 5.63414e-05, 0.00588472, 5.42194e-05, 0.00532479, 5.21367e-05, 0.00481811, 5.00935e-05, 0.00435961, 4.80898e-05, 0.0039447, 4.61258e-05, 0.00356925, 4.42013e-05, 0.00322948, 4.23166e-05, 0.00292201, 4.04717e-05, 0.00264376, 3.86665e-05, 0.00239195, 3.69011e-05, 0.00216406, 3.51756e-05, 0.0019578, 3.34898e-05, 0.00177113, 3.18438e-05, 0.00160217, 3.02377e-05, 0.00144922, 2.86713e-05, 0.00131078, 2.71447e-05, 0.00118543, 2.5658e-05, 0.00107195, 2.4211e-05, 0.00096918, 2.28037e-05, 0.000876104, 2.14362e-05, 0.00079179, 2.01085e-05, 0.000715393, 1.88206e-05, 0.00064615, 1.75724e-05, 0.000583369, 1.6364e-05, 0.000526421, 1.51954e-05, 0.000474738, 1.40666e-05, 0.000427801, 1.29777e-05, 0.000385143, 1.19287e-05, 0.000346337, 1.09197e-05, 0.000310994, 9.95077e-06, 0.00027876, 9.02192e-06, 0.000249315, 8.13328e-06, 0.000222362, 7.28495e-06, 0.000197633, 6.47704e-06, 0.00017488, 5.7097e-06, 0.000153877, 4.98306e-06, 0.000134412, 4.2973e-06, 0.000116291, 3.65259e-06, 9.93326e-05, 3.04912e-06, 8.33679e-05, 2.48712e-06, 6.82369e-05, 1.9668e-06, 5.37883e-05, 1.48843e-06, 3.98775e-05, 1.05227e-06, 2.63655e-05, 6.58612e-07, 1.31172e-05, 3.08695e-07
-0.394546, -7.08058e-06, -0.000167672, 0.194998, 9.04916e-05, 0.0352891, 9.04916e-05, -0.018549, -7.08058e-06, -0.000167672, -0.375997, 0, 0, 0.159709, 0, 0.0352891, 9.04916e-05, 0.0319322, 0.000105802, 0.0288946, 0.000118027, 0.026146, 0.000127278, 0.0236588, 0.000133717, 0.0214082, 0.000137532, 0.0193716, 0.000138924, 0.0175288, 0.000138111, 0.0158613, 0.000135313, 0.0143524, 0.000131028, 0.012987, 0.000126647, 0.0117515, 0.000122334, 0.0106335, 0.000118089, 0.00962187, 0.000113914, 0.00870643, 0.000109808, 0.00787805, 0.000105773, 0.00712846, 0.000101808, 0.00645015, 9.79132e-05, 0.00583634, 9.40898e-05, 0.0052809, 9.03377e-05, 0.00477826, 8.66573e-05, 0.00432341, 8.30486e-05, 0.00391179, 7.95119e-05, 0.00353928, 7.60474e-05, 0.00320218, 7.26552e-05, 0.00289709, 6.93355e-05, 0.00262097, 6.60885e-05, 0.00237106, 6.29142e-05, 0.00214487, 5.98127e-05, 0.00194012, 5.67843e-05, 0.00175478, 5.38289e-05, 0.00158698, 5.09468e-05, 0.00143505, 4.81379e-05, 0.00129747, 4.54025e-05, 0.00117287, 4.27405e-05, 0.00105999, 4.01522e-05, 0.000957718, 3.76376e-05, 0.000865021, 3.51969e-05, 0.000780974, 3.28302e-05, 0.000704736, 3.05377e-05, 0.000635546, 2.83195e-05, 0.000572711, 2.61758e-05, 0.000515603, 2.41067e-05, 0.000463652, 2.21126e-05, 0.000416337, 2.01937e-05, 0.000373185, 1.83502e-05, 0.000333765, 1.65823e-05, 0.000297683, 1.48904e-05, 0.000264577, 1.32748e-05, 0.000234118, 1.17359e-05, 0.000205999, 1.02741e-05, 0.000179941, 8.88967e-06, 0.000155682, 7.58318e-06, 0.00013298, 6.35508e-06, 0.000111607, 5.20586e-06, 9.13508e-05, 4.13607e-06, 7.2008e-05, 3.1463e-06, 5.33852e-05, 2.23714e-06, 3.52963e-05, 1.40926e-06, 1.75603e-05, 6.65101e-07
