pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.399961, -1.93939e-05, 4.73886e-05, -7.4699e-05, -1.21496e-11, -7.46991e-05, -1.21496e-11, 3.92888e-05, -1.93939e-05, 4.73886e-05, -0.4, 0, 0, 1e-10, 0, -7.46991e-05, -1.21496e-11, -6.75883e-05, -1.10677e-07, -6.11534e-05, -4.28919e-07, -5.53301e-05, -9.34991e-07, -5.006e-05, -1.61064e-06, -4.52905e-05, -2.43949e-06, -4.09739e-05, -3.40728e-06, -3.70671e-05, -4.50193e-06, -3.3531e-05, -5.71351e-06, -3.03301e-05, -7.01954e-06, -2.74326e-05, -8.17304e-06, -2.48094e-05, -9.09796e-06, -2.24343e-05, -9.80619e-06, -2.02835e-05, -1.03078e-05, -1.83356e-05, -1.06123e-05, -1.6571e-05, -1.07289e-05, -1.49721e-05, -1.06677e-05, -1.3523e-05, -1.04396e-05, -1.2209e-05, -1.00792e-05, -1.10172e-05, -9.69424e-06, -9.93556e-06, -9.29799e-06, -8.95326e-06, -8.89111e-06, -8.06048e-06, -8.47425e-06, -7.24832e-06, -8.04808e-06, -6.50864e-06, -7.61325e-06, -5.83404e-06, -7.17041e-06, -5.21779e-06, -6.72021e-06, -4.65371e-06, -6.26329e-06, -4.13617e-06, -5.8003e-06, -3.65999e-06, -5.33186e-06, -3.22041e-06, -4.85862e-06, -2.81304e-06, -4.3812e-06, -2.43379e-06, -3.90024e-06, -2.07889e-06, -3.41636e-06, -1.74477e-06, -2.93019e-06, -1.4281e-06, -2.44236e-06, -1.12571e-06, -1.95348e-06, -8.34577e-07, -1.46418e-06, -5.51791e-07, -9.75084e-07, -2.74523e-07, -4.86887e-07
-0.399961, -1.93939e-05, 4.73886e-05, 0.00196364, -1.13842e-07, -1.2087e-05, -1.13842e-07, 6.35728e-06, -1.93939e-05, 4.73886e-05, -0.399967, 0, 0, 0.00197572, 0, -1.2087e-05, -1.13842e-07, -1.09364e-05, -4.41513e-07, -9.89516e-06, -9.63312e-07, -8.95289e-06, -1.66096e-06, -8.10014e-06, -2.51807e-06, -7.3284e-06, -3.52035e-06, -6.62994e-06, -4.6557e-06, -5.99779e-06, -5.91414e-06, -5.42561e-06, -7.27264e-06, -4.90768e-06, -8.47536e-06, -4.43884e-06, -9.44309e-06, -4.01438e-06, -1.01877e-05, -3.63006e-06, -1.07195e-05, -3.28205e-06, -1.10478e-05, -2.96686e-06, -1.1182e-05, -2.68133e-06, -1.11322e-05, -2.42262e-06, -1.09094e-05, -2.18813e-06, -1.05492e-05, -1.97553e-06, -1.0164e-05, -1.78268e-06, -9.76764e-06, -1.60766e-06, -9.36072e-06, -1.44872e-06, -8.94392e-06, -1.30426e-06, -8.5179e-06, -1.17284e-06, -8.08331e-06, -1.05315e-06, -7.6408e-06, -9.43999e-07, -7.19102e-06, -8.44284e-07, -6.73461e-06, -7.53011e-07, -6.27219e-06, -6.69268e-07, -5.80441e-06, -5.92218e-07, -5.3319e-06, -5.21091e-07, -4.85527e-06, -4.55174e-07, -4.37517e-06, -3.93809e-07, -3.8922e-06, -3.36382e-07, -3.407e-06, -2.82319e-07, -2.92018e-06, -2.31079e-07, -2.43237e-06, -1.8215e-07, -1.94418e-06, -1.35042e-07, -1.45623e-06, -8.92846e-08, -9.69136e-07, -4.44202e-08, -4.83593e-07
-0.399961, -1.93939e-05, 4.73886e-05, 0.00832904, -4.54452e-07, 0.000426141, -4.54452e-07, -0.000224134, -1.93939e-05, 4.73886e-05, -0.399737, 0, 0, 0.0079029, 0, 0.000426141, -4.54452e-07, 0.000385576, -9.92306e-07, 0.000348866, -1.71247e-06, 0.000315645, -2.59849e-06, 0.000285581, -3.63605e-06, 0.000258372, -4.81299e-06, 0.000233747, -6.11928e-06, 0.000211459, -7.5313e-06, 0.000191287, -8.78414e-06, 0.000173026, -9.79537e-06, 0.000156497, -1.05769e-05, 0.000141532, -1.1139e-05, 0.000127982, -1.14912e-05, 0.000115713, -1.16429e-05, 0.0001046, -1.16043e-05, 9.45337e-05, -1.13865e-05, 8.54125e-05, -1.1026e-05, 7.71454e-05, -1.06401e-05, 6.96498e-05, -1.02431e-05, 6.28507e-05, -9.83572e-06, 5.66801e-05, -9.4185e-06, 5.10763e-05, -8.99216e-06, 4.59832e-05, -8.55734e-06, 4.135e-05, -8.11469e-06, 3.71303e-05, -7.66484e-06, 3.32819e-05, -7.20844e-06, 2.97663e-05, -6.74612e-06, 2.65483e-05, -6.2785e-06, 2.35959e-05, -5.80621e-06, 2.08794e-05, -5.32988e-06, 1.83717e-05, -4.85013e-06, 1.60477e-05, -4.36758e-06, 1.38842e-05, -3.88284e-06, 1.18596e-05, -3.39653e-06, 9.9535e-06, -2.90927e-06, 8.14697e-06, -2.42167e-06, 6.42191e-06, -1.93434e-06, 4.76107e-06, -1.44789e-06, 3.14784e-06, -9.62944e-07, 1.56609e-06, -4.80185e-07
-0.399961, -1.93939e-05, 4.73886e-05, 0.0193972, -1.02175e-06, 0.00161571, -1.02175e-06, -0.000849804, -1.93939e-05, 4.73886e-05, -0.399111, 0, 0, 0.0177815, 0, 0.00161571, -1.02175e-06, 0.00146191, -1.76463e-06, 0.00132273, -2.67993e-06, 0.00119677, -3.75319e-06, 0.00108278, -4.97224e-06, 0.000979618, -6.32697e-06, 0.000886252, -7.79314e-06, 0.000801749, -9.09667e-06, 0.000725263, -1.01519e-05, 0.00065603, -1.09707e-05, 0.000593357, -1.15634e-05, 0.000536618, -1.19396e-05, 0.000485246, -1.21089e-05, 0.000438725, -1.20814e-05, 0.000396592, -1.18684e-05, 0.000358425, -1.15075e-05, 0.000323842, -1.11207e-05, 0.000292497, -1.07229e-05, 0.000264077, -1.03147e-05, 0.000238298, -9.89678e-06, 0.000214903, -9.46985e-06, 0.000193656, -9.03451e-06, 0.000174345, -8.59141e-06, 0.000156779, -8.14119e-06, 0.00014078, -7.68449e-06, 0.000126188, -7.22192e-06, 0.000112859, -6.75411e-06, 0.000100658, -6.2817e-06, 8.94639e-05, -5.80529e-06, 7.91643e-05, -5.32551e-06, 6.96563e-05, -4.84297e-06, 6.0845e-05, -4.35828e-06, 5.26421e-05, -3.87205e-06, 4.49656e-05, -3.3849e-06, 3.77387e-05, -2.89743e-06, 3.08893e-05, -2.41025e-06, 2.43487e-05, -1.92397e-06, 1.80516e-05, -1.4392e-06, 1.1935e-05, -9.56539e-07, 5.93783e-06, -4.76683e-07
-0.399961, -1.93939e-05, 4.73886e-05, 0.0355437, -1.81693e-06, 0.00393214, -1.81693e-06, -0.00206815, -1.93939e-05, 4.73886e-05, -0.397893, 0, 0, 0.0316116, 0, 0.00393214, -1.81693e-06, 0.00355783, -2.76139e-06, 0.0032191, -3.8704e-06, 0.00291256, -5.1316e-06, 0.00263514, -6.53483e-06, 0.00238408, -8.05527e-06, 0.00215686, -9.40966e-06, 0.0019512, -1.0509e-05, 0.00176506, -1.13653e-05, 0.00159657, -1.19889e-05, 0.00144404, -1.23894e-05, 0.00130596, -1.25764e-05, 0.00118093, -1.25602e-05, 0.00106772, -1.23521e-05, 0.000965179, -1.19908e-05, 0.000872292, -1.16031e-05, 0.000788128, -1.12045e-05, 0.000711845, -1.07956e-05, 0.00064268, -1.0377e-05, 0.000579943, -9.94941e-06, 0.000523005, -9.51349e-06, 0.000471297, -9.06987e-06, 0.000424301, -8.61917e-06, 0.000381549, -8.16202e-06, 0.000342613, -7.69905e-06, 0.000307102, -7.23088e-06, 0.000274663, -6.75814e-06, 0.00024497, -6.28143e-06, 0.000217727, -5.80136e-06, 0.000192661, -5.31856e-06, 0.000169521, -4.83363e-06, 0.000148077, -4.34717e-06, 0.000128114, -3.85979e-06, 0.000109432, -3.3721e-06, 9.1844e-05, -2.88469e-06, 7.51746e-05, -2.39817e-06, 5.9257e-05, -1.91314e-06, 4.39319e-05, -1.43021e-06, 2.90461e-05, -9.49969e-07, 1.44508e-05, -4.73115e-07
-0.399961, -1.93939e-05, 4.73886e-05, 0.0571442, -2.84195e-06, 0.00775114, -2.84195e-06, -0.0040768, -1.93939e-05, 4.73886e-05, -0.395884, 0, 0, 0.0493931, 0, 0.00775114, -2.84195e-06, 0.00701329, -3.98609e-06, 0.00634557, -5.28896e-06, 0.00574131, -6.74022e-06, 0.00519446, -8.31446e-06, 0.00469956, -9.71939e-06, 0.00425165, -1.08627e-05, 0.00384626, -1.17565e-05, 0.00347933, -1.24111e-05, 0.0031472, -1.28361e-05, 0.00284654, -1.30412e-05, 0.00257434, -1.30367e-05, 0.00232789, -1.28338e-05, 0.00210471, -1.24726e-05, 0.00190259, -1.20844e-05, 0.00171949, -1.16853e-05, 0.00155358, -1.12759e-05, 0.00140321, -1.08568e-05, 0.00126687, -1.04288e-05, 0.0011432, -9.99253e-06, 0.00103096, -9.54851e-06, 0.000929033, -9.09744e-06, 0.000836395, -8.63993e-06, 0.00075212, -8.17661e-06, 0.000675367, -7.70809e-06, 0.000605368, -7.23499e-06, 0.000541423, -6.75792e-06, 0.000482891, -6.2775e-06, 0.000429189, -5.79432e-06, 0.000379778, -5.30899e-06, 0.000334165, -4.82212e-06, 0.000291894, -4.3343e-06, 0.000252542, -3.84613e-06, 0.000215715, -3.35822e-06, 0.000181045, -2.87115e-06, 0.000148186, -2.38553e-06, 0.000116809, -1.90195e-06, 8.65997e-05, -1.42101e-06, 5.72565e-05, -9.43304e-07, 2.84858e-05, -4.6952e-07
-0.399929, -3.5245e-05, 8.56322e-05, 0.0845147, -7.37508e-06, 0.0133886, -7.37508e-06, -0.00704191, -3.5245e-05, 8.56322e-05, -0.392887, 0, 0, 0.0711261, 0, 0.0133886, -7.37508e-06, 0.0121141, -9.79192e-06, 0.0109608, -1.24877e-05, 0.00991704, -1.54158e-05, 0.00897246, -1.80346e-05, 0.00811761, -2.01725e-05, 0.00734393, -2.18508e-05, 0.0066437, -2.30881e-05, 0.0060099, -2.39014e-05, 0.0054362, -2.43079e-05, 0.00491686, -2.43257e-05, 0.00444669, -2.3975e-05, 0.00402099, -2.33293e-05, 0.0036355, -2.26336e-05, 0.00328636, -2.19178e-05, 0.00297009, -2.11833e-05, 0.00268352, -2.04311e-05, 0.00242378, -1.96624e-05, 0.00218828, -1.88783e-05, 0.00197466, -1.80801e-05, 0.00178079, -1.72689e-05, 0.00160473, -1.64457e-05, 0.00144472, -1.56117e-05, 0.00129915, -1.47681e-05, 0.00116657, -1.39159e-05, 0.00104566, -1.30562e-05, 0.000935206, -1.21901e-05, 0.000834104, -1.13188e-05, 0.000741343, -1.04432e-05, 0.000655996, -9.56453e-06, 0.000577208, -8.6838e-06, 0.000504192, -7.80211e-06, 0.000436219, -6.92052e-06, 0.000372608, -6.0401e-06, 0.000312722, -5.16193e-06, 0.000255964, -4.28707e-06, 0.000201766, -3.4166e-06, 0.000149585, -2.55159e-06, 9.88999e-05, -1.6931e-06, 4.92039e-05, -8.42367e-07
-0.399812, -1.89672e-05, 3.96209e-05, 0.117926, -4.06417e-06, 0.0211158, -4.06417e-06, -0.0111061, -1.89672e-05, 3.96209e-05, -0.388705, 0, 0, 0.0968105, 0, 0.0211158, -4.06417e-06, 0.0191057, -5.18858e-06, 0.0172867, -6.4195e-06, 0.0156406, -7.53461e-06, 0.0141508, -8.4626e-06, 0.0128026, -9.21092e-06, 0.0115824, -9.78461e-06, 0.010478, -1.01874e-05, 0.00947845, -1.04227e-05, 0.00857365, -1.0494e-05, 0.00775458, -1.0406e-05, 0.00701306, -1.0187e-05, 0.00634167, -9.9424e-06, 0.00573369, -9.68529e-06, 0.00518306, -9.41624e-06, 0.00468425, -9.13582e-06, 0.00423228, -8.84459e-06, 0.00382264, -8.5431e-06, 0.00345122, -8.23192e-06, 0.00311432, -7.91158e-06, 0.00280856, -7.58263e-06, 0.00253088, -7.2456e-06, 0.00227852, -6.90104e-06, 0.00204894, -6.54946e-06, 0.00183985, -6.1914e-06, 0.00164915, -5.82738e-06, 0.00147495, -5.45792e-06, 0.0013155, -5.08353e-06, 0.0011692, -4.70473e-06, 0.0010346, -4.32204e-06, 0.000910338, -3.93595e-06, 0.000795182, -3.54699e-06, 0.000687978, -3.15566e-06, 0.000587654, -2.76245e-06, 0.000493207, -2.36789e-06, 0.000403691, -1.97246e-06, 0.000318213, -1.57668e-06, 0.000235916, -1.18104e-06, 0.000155979, -7.86042e-07, 7.76015e-05, -3.92246e-07
-0.399301, -1.02697e-06, -2.46207e-05, 0.157172, 7.08284e-06, 0.0307259, 7.08284e-06, -0.0161606, -1.02697e-06, -2.46207e-05, -0.38314, 0, 0, 0.126446, 0, 0.0307259, 7.08284e-06, 0.027801, 8.71122e-06, 0.0251542, 1.01206e-05, 0.0227589, 1.12106e-05, 0.0205911, 1.1998e-05, 0.0186293, 1.25026e-05, 0.0168538, 1.27468e-05, 0.0152468, 1.27548e-05, 0.0137923, 1.2552e-05, 0.0124757, 1.21644e-05, 0.0112838, 1.16422e-05, 0.0102048, 1.11128e-05, 0.00922787, 1.05909e-05, 0.0083432, 1.00769e-05, 0.00754195, 9.57094e-06, 0.00681613, 9.07328e-06, 0.00615847, 8.58413e-06, 0.00556239, 8.10375e-06, 0.00502194, 7.63234e-06, 0.0045317, 7.17015e-06, 0.00408678, 6.7174e-06, 0.00368273, 6.27431e-06, 0.00331551, 5.84111e-06, 0.00298144, 5.41803e-06, 0.00267719, 5.00529e-06, 0.00239971, 4.60313e-06, 0.00214623, 4.21177e-06, 0.00191421, 3.83145e-06, 0.00170133, 3.46239e-06, 0.00150546, 3.10484e-06, 0.00132465, 2.75902e-06, 0.00115708, 2.42517e-06, 0.00100109, 2.10354e-06, 0.000855106, 1.79437e-06, 0.000717674, 1.4979e-06, 0.000587418, 1.21438e-06, 0.000463037, 9.44068e-07, 0.000343286, 6.87213e-07, 0.000226968, 4.44074e-07, 0.000112919, 2.15052e-07
-0.398595, -4.48573e-05, 5.58137e-05, 0.202675, -2.52702e-06, 0.0429662, -2.52702e-06, -0.0225985, -4.48573e-05, 5.58137e-05, -0.375997, 0, 0, 0.159709, 0, 0.0429662, -2.52702e-06, 0.0388761, -3.13512e-06, 0.0351748, -3.77035e-06, 0.0318253, -4.42565e-06, 0.028794, -5.0831e-06, 0.0260506, -5.71789e-06, 0.0235678, -6.30143e-06, 0.0213206, -6.80414e-06, 0.0192867, -7.19769e-06, 0.0174456, -7.47508e-06, 0.015779, -7.70276e-06, 0.0142701, -7.89032e-06, 0.012904, -8.03877e-06, 0.0116669, -8.14906e-06, 0.0105464, -8.22217e-06, 0.00953147, -8.25904e-06, 0.00861181, -8.26061e-06, 0.00777827, -8.22783e-06, 0.00702252, -8.1616e-06, 0.00633699, -8.06285e-06, 0.00571483, -7.93248e-06, 0.00514982, -7.77137e-06, 0.00463631, -7.58042e-06, 0.00416916, -7.3605e-06, 0.0037437, -7.11248e-06, 0.00335568, -6.83722e-06, 0.00300122, -6.53556e-06, 0.00267677, -6.20835e-06, 0.00237908, -5.85643e-06, 0.00210519, -5.48062e-06, 0.00185235, -5.08174e-06, 0.00161803, -4.66061e-06, 0.00139989, -4.21803e-06, 0.00119575, -3.7548e-06, 0.00100357, -3.27172e-06, 0.000821427, -2.76957e-06, 0.000647496, -2.24913e-06, 0.00048004, -1.71118e-06, 0.000317385, -1.1565e-06, 0.000157903, -5.8578e-07
