pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad]
-0.400194, -7.22997e-09, 1.78611e-08, 0.000350654, 2.32433e-14, 0.000350654, 2.32433e-14, -0.000185187, -3.18846e-07, 1.78611e-08, -0.400008, 3.11616e-07, 0, 1e-10, 0, 0.000350654, 2.32433e-14, 0.000317124, 4.94448e-10, 0.000286764, 1.97606e-09, 0.000259272, 4.42436e-09, 0.000234372, 7.78429e-09, 0.000211817, 1.19557e-08, 0.000191379, 1.67856e-08, 0.000172856, 2.20634e-08, 0.000156061, 2.75184e-08, 0.000140826, 3.27588e-08, 0.000127, 3.64458e-08, 0.000114444, 3.82604e-08, 0.000103032, 3.84044e-08, 9.26508e-05, 3.71355e-08, 8.31959e-05, 3.47446e-08, 7.4573e-05, 3.15347e-08, 6.66958e-05, 2.78033e-08, 5.94855e-05, 2.38275e-08, 5.28701e-05, 1.98865e-08, 4.67834e-05, 1.62762e-08, 4.11645e-05, 1.30243e-08, 3.59573e-05, 1.01295e-08, 3.11097e-05, 7.59078e-09, 2.65731e-05, 5.40722e-09, 2.23023e-05, 3.57789e-09, 1.82545e-05, 2.10197e-09, 1.43892e-05, 9.78725e-10, 1.06679e-05, 2.07466e-10, 7.05321e-06, -2.12407e-10, 3.50906e-06, -2.81183e-10
-0.400182, -1.06914e-08, 2.65461e-08, 0.00236721, 2.89358e-10, 0.000391489, 2.89358e-10, -0.000206753, -3.22304e-07, 1.18403e-07, -0.399976, 3.11613e-07, -9.18569e-08, 0.00197572, 0, 0.000391489, 2.89358e-10, 0.000354053, 1.18538e-09, 0.000320158, 2.71222e-09, 0.000289465, 4.85929e-09, 0.000261666, 7.57081e-09, 0.000236483, 1.0738e-08, 0.000213666, 1.41944e-08, 0.000192985, 1.77133e-08, 0.000174234, 2.09705e-08, 0.000157226, 2.30567e-08, 0.00014179, 2.37636e-08, 0.000127771, 2.32467e-08, 0.000115031, 2.17176e-08, 0.00010344, 1.94208e-08, 9.28843e-05, 1.66133e-08, 8.32572e-05, 1.35468e-08, 7.44627e-05, 1.04542e-08, 6.64128e-05, 7.54403e-09, 5.9027e-05, 4.96566e-09, 5.22315e-05, 2.729e-09, 4.59583e-05, 8.31501e-10, 4.01446e-05, -7.29313e-10, 3.47325e-05, -1.95586e-09, 2.96676e-05, -2.85046e-09, 2.48995e-05, -3.4154e-09, 2.03803e-05, -3.65287e-09, 1.60649e-05, -3.56499e-09, 1.19102e-05, -3.15381e-09, 7.87457e-06, -2.42133e-09, 3.9177e-06, -1.36923e-09
-0.400108, -2.30617e-08, 5.75449e-08, 0.00859045, 1.10865e-09, 0.000687552, 1.10865e-09, -0.000363109, -3.34653e-07, 1.49402e-07, -0.399745, 3.11592e-07, -9.18569e-08, 0.0079029, 0, 0.000687552, 1.10865e-09, 0.000621806, 2.55804e-09, 0.000562277, 4.61567e-09, 0.000508372, 7.23269e-09, 0.00045955, 1.03038e-08, 0.000415324, 1.36617e-08, 0.000375251, 1.70744e-08, 0.00033893, 2.02091e-08, 0.000305999, 2.21731e-08, 0.000276128, 2.27591e-08, 0.000249018, 2.21191e-08, 0.000224398, 2.04657e-08, 0.000202022, 1.80475e-08, 0.000181667, 1.51271e-08, 0.000163128, 1.19639e-08, 0.00014622, 8.79791e-09, 0.000130775, 5.8405e-09, 0.000116637, 3.22533e-09, 0.000103666, 9.59815e-10, 9.17314e-05, -9.59111e-10, 8.07141e-05, -2.53446e-09, 7.05039e-05, -3.76915e-09, 6.09988e-05, -4.66606e-09, 5.21037e-05, -5.22797e-09, 4.37296e-05, -5.45758e-09, 3.57928e-05, -5.35754e-09, 2.8214e-05, -4.93042e-09, 2.09172e-05, -4.17872e-09, 1.38297e-05, -3.10486e-09, 6.88045e-06, -1.71097e-09
-0.399827, -9.07588e-08, 2.26555e-07, 0.0191214, 1.49189e-10, 0.00133992, 1.49189e-10, -0.000707635, -4.02293e-07, 3.18412e-07, -0.399119, 3.11534e-07, -9.18569e-08, 0.0177815, 0, 0.00133992, 1.49189e-10, 0.00121179, 5.14667e-10, 0.00109578, 1.09425e-09, 0.000990726, 1.82891e-09, 0.000895581, 2.5878e-09, 0.000809392, 3.16527e-09, 0.000731297, 3.27993e-09, 0.000660514, 2.62828e-09, 0.000596337, 1.17158e-09, 0.000538124, -9.77073e-10, 0.000485291, -3.63542e-09, 0.000437312, -6.58047e-09, 0.000393705, -9.57314e-09, 0.000354036, -1.23791e-08, 0.000317907, -1.47857e-08, 0.000284957, -1.66642e-08, 0.000254857, -1.81282e-08, 0.000227305, -1.92012e-08, 0.000202027, -1.98887e-08, 0.000178768, -2.01964e-08, 0.000157297, -2.01295e-08, 0.0001374, -1.96936e-08, 0.000118876, -1.88937e-08, 0.000101541, -1.77352e-08, 8.52213e-05, -1.62231e-08, 6.97539e-05, -1.43623e-08, 5.4984e-05, -1.2158e-08, 4.0764e-05, -9.6148e-09, 2.69516e-05, -6.73763e-09, 1.34088e-05, -3.53095e-09
-0.399068, -5.05934e-07, 1.2638e-06, 0.0338212, -2.87478e-08, 0.00220962, -2.87478e-08, -0.00116694, -8.17357e-07, 1.35566e-06, -0.397901, 3.11423e-07, -9.18569e-08, 0.0316116, 0, 0.00220962, -2.87478e-08, 0.00199833, -4.29335e-08, 0.00180702, -5.92478e-08, 0.00163378, -7.75531e-08, 0.00147688, -9.78322e-08, 0.00133475, -1.19932e-07, 0.00120596, -1.39805e-07, 0.00108924, -1.56212e-07, 0.000983406, -1.69301e-07, 0.000887407, -1.79116e-07, 0.000800283, -1.85643e-07, 0.000721161, -1.88852e-07, 0.000649251, -1.88731e-07, 0.000583833, -1.85315e-07, 0.000524254, -1.79107e-07, 0.000469917, -1.72015e-07, 0.000420279, -1.64282e-07, 0.000374844, -1.55928e-07, 0.000333157, -1.46975e-07, 0.000294803, -1.37442e-07, 0.000259396, -1.2735e-07, 0.000226583, -1.16718e-07, 0.000196035, -1.05567e-07, 0.000167449, -9.39165e-08, 0.000140536, -8.17857e-08, 0.00011503, -6.91943e-08, 9.06729e-05, -5.61616e-08, 6.7223e-05, -4.27067e-08, 4.44453e-05, -2.88489e-08, 2.21121e-05, -1.46069e-08
-0.397055, -2.16458e-07, 5.33719e-07, 0.0515948, -1.09768e-08, 0.00220167, -1.09768e-08, -0.00116274, -5.27697e-07, 6.25575e-07, -0.395892, 3.11239e-07, -9.18569e-08, 0.0493931, 0, 0.00220167, -1.09768e-08, 0.00199114, -1.49035e-08, 0.00180052, -1.93704e-08, 0.0016279, -2.45436e-08, 0.00147157, -3.06147e-08, 0.00132995, -3.67145e-08, 0.00120162, -4.2535e-08, 0.00108532, -4.80302e-08, 0.000979867, -5.30671e-08, 0.000884214, -5.74616e-08, 0.000797403, -6.10098e-08, 0.000718566, -6.35133e-08, 0.000646914, -6.48007e-08, 0.000581732, -6.48998e-08, 0.000522367, -6.44417e-08, 0.000468226, -6.35146e-08, 0.000418766, -6.21285e-08, 0.000373495, -6.02937e-08, 0.000331958, -5.802e-08, 0.000293742, -5.53175e-08, 0.000258462, -5.21957e-08, 0.000225767, -4.86645e-08, 0.00019533, -4.47333e-08, 0.000166846, -4.04116e-08, 0.000140031, -3.57087e-08, 0.000114616, -3.0634e-08, 9.03466e-05, -2.51965e-08, 6.69811e-05, -1.94054e-08, 4.42854e-05, -1.32697e-08, 2.20325e-05, -6.79812e-09
-0.394907, -3.14998e-07, 7.72821e-07, 0.0749348, -2.94029e-08, 0.00380877, -2.94029e-08, -0.00201148, -6.25962e-07, 8.64678e-07, -0.392896, 3.10964e-07, -9.18569e-08, 0.0711261, 0, 0.00380877, -2.94029e-08, 0.00344456, -3.84605e-08, 0.0031148, -4.87044e-08, 0.00281618, -6.02444e-08, 0.00254573, -7.11809e-08, 0.00230073, -8.08945e-08, 0.00207874, -8.93923e-08, 0.00187754, -9.65819e-08, 0.00169512, -1.02313e-07, 0.00152964, -1.06412e-07, 0.00137946, -1.08715e-07, 0.00124308, -1.09086e-07, 0.00111913, -1.07694e-07, 0.00100636, -1.05625e-07, 0.000903666, -1.03025e-07, 0.000810004, -9.99079e-08, 0.000724443, -9.62866e-08, 0.000646126, -9.21748e-08, 0.00057427, -8.75859e-08, 0.000508157, -8.25331e-08, 0.000447125, -7.70295e-08, 0.000390565, -7.10882e-08, 0.00033791, -6.47218e-08, 0.000288635, -5.79433e-08, 0.000242245, -5.07651e-08, 0.000198279, -4.31999e-08, 0.000156295, -3.52601e-08, 0.000115874, -2.6958e-08, 7.66112e-05, -1.83058e-08, 3.8115e-05, -9.31567e-09
-0.391879, -4.64494e-07, 1.15223e-06, 0.102803, -7.14976e-08, 0.00599291, -7.14976e-08, -0.00316497, -7.75075e-07, 1.24409e-06, -0.388714, 3.10581e-07, -9.18569e-08, 0.0968105, 0, 0.00599291, -7.14976e-08, 0.00541985, -9.05676e-08, 0.00490098, -1.11619e-07, 0.00443112, -1.30952e-07, 0.00400558, -1.47402e-07, 0.00362009, -1.61065e-07, 0.0032708, -1.71924e-07, 0.00295422, -1.79894e-07, 0.00266718, -1.84865e-07, 0.00240681, -1.86739e-07, 0.00217051, -1.85456e-07, 0.00195592, -1.81431e-07, 0.00176089, -1.76541e-07, 0.00158346, -1.71027e-07, 0.00142187, -1.64909e-07, 0.0012745, -1.58207e-07, 0.00113987, -1.50938e-07, 0.00101665, -1.43122e-07, 0.000903585, -1.34777e-07, 0.000799559, -1.25923e-07, 0.000703529, -1.16576e-07, 0.000614534, -1.06756e-07, 0.000531685, -9.64804e-08, 0.000454152, -8.57671e-08, 0.000381161, -7.4634e-08, 0.000311981, -6.30986e-08, 0.000245922, -5.11786e-08, 0.000182321, -3.88914e-08, 0.000120544, -2.62544e-08, 5.99721e-05, -1.32848e-08
-0.387024, -9.67606e-07, 2.65981e-06, 0.133783, -2.79734e-07, 0.0073371, -2.79734e-07, -0.00387486, -1.27768e-06, 2.75167e-06, -0.383149, 3.10071e-07, -9.18569e-08, 0.126446, 0, 0.0073371, -2.79734e-07, 0.0066355, -3.43488e-07, 0.00600025, -4.0011e-07, 0.00542501, -4.45934e-07, 0.00490401, -4.81506e-07, 0.00443206, -5.07222e-07, 0.00400443, -5.234e-07, 0.00361684, -5.30344e-07, 0.00326542, -5.28389e-07, 0.00294665, -5.17938e-07, 0.00265735, -5.00601e-07, 0.00239463, -4.81717e-07, 0.00215585, -4.61949e-07, 0.00193863, -4.41337e-07, 0.00174079, -4.19922e-07, 0.00156037, -3.97743e-07, 0.00139554, -3.74842e-07, 0.00124468, -3.51257e-07, 0.00110625, -3.27027e-07, 0.000978897, -3.02191e-07, 0.000861327, -2.76789e-07, 0.000752371, -2.50859e-07, 0.000650939, -2.24439e-07, 0.000556016, -1.97568e-07, 0.000466654, -1.70283e-07, 0.000381957, -1.42622e-07, 0.000301081, -1.14623e-07, 0.000223215, -8.63241e-08, 0.000147581, -5.77623e-08, 7.34236e-05, -2.89754e-08
-0.38281, -3.90475e-06, 9.72742e-06, 0.172593, -1.33509e-06, 0.0128845, -1.33509e-06, -0.00680457, -4.21416e-06, 9.81927e-06, -0.376005, 3.09417e-07, -9.18569e-08, 0.159709, 0, 0.0128845, -1.33509e-06, 0.0116525, -1.55505e-06, 0.0105369, -1.73238e-06, 0.00952676, -1.86925e-06, 0.00861185, -1.96737e-06, 0.00778306, -2.02823e-06, 0.0070321, -2.0533e-06, 0.00635146, -2.04415e-06, 0.00573434, -2.0026e-06, 0.00517456, -1.93503e-06, 0.00466653, -1.8621e-06, 0.00420516, -1.78637e-06, 0.00378585, -1.70798e-06, 0.00340439, -1.62706e-06, 0.00305697, -1.54377e-06, 0.00274013, -1.45824e-06, 0.00245069, -1.37062e-06, 0.00218575, -1.28103e-06, 0.00194267, -1.18962e-06, 0.00171902, -1.09653e-06, 0.00151256, -1.00189e-06, 0.00132123, -9.05841e-07, 0.0011431, -8.08514e-07, 0.00097641, -7.10044e-07, 0.000819482, -6.10567e-07, 0.000670748, -5.10216e-07, 0.000528723, -4.09123e-07, 0.000391984, -3.07423e-07, 0.000259165, -2.05247e-07, 0.000128938, -1.0273e-07
