pose_x_rot [m], pose_y_rot [m], pose_theta_rot [rad], pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], v_opt [m/s], delta_opt [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref, v_ref [m/s], delta_ref [rad], v_k [m/s], delta_k [rad], v_k+1 [m/s], delta_k+1 [rad], v_k+2 [m/s], delta_k+2 [rad], v_k+3 [m/s], delta_k+3 [rad], v_k+4 [m/s], delta_k+4 [rad], v_k+5 [m/s], delta_k+5 [rad], v_k+6 [m/s], delta_k+6 [rad], v_k+7 [m/s], delta_k+7 [rad], v_k+8 [m/s], delta_k+8 [rad], v_k+9 [m/s], delta_k+9 [rad], v_k+10 [m/s], delta_k+10 [rad], v_k+11 [m/s], delta_k+11 [rad], v_k+12 [m/s], delta_k+12 [rad], v_k+13 [m/s], delta_k+13 [rad], v_k+14 [m/s], delta_k+14 [rad], v_k+15 [m/s], delta_k+15 [rad], v_k+16 [m/s], delta_k+16 [rad], v_k+17 [m/s], delta_k+17 [rad], v_k+18 [m/s], delta_k+18 [rad], v_k+19 [m/s], delta_k+19 [rad], v_k+20 [m/s], delta_k+20 [rad], v_k+21 [m/s], delta_k+21 [rad], v_k+22 [m/s], delta_k+22 [rad], v_k+23 [m/s], delta_k+23 [rad], v_k+24 [m/s], delta_k+24 [rad], v_k+25 [m/s], delta_k+25 [rad], v_k+26 [m/s], delta_k+26 [rad], v_k+27 [m/s], delta_k+27 [rad], v_k+28 [m/s], delta_k+28 [rad], v_k+29 [m/s], delta_k+29 [rad], v_k+30 [m/s], delta_k+30 [rad], v_k+31 [m/s], delta_k+31 [rad], v_k+32 [m/s], delta_k+32 [rad], v_k+33 [m/s], delta_k+33 [rad], v_k+34 [m/s], delta_k+34 [rad], v_k+35 [m/s], delta_k+35 [rad], v_k+36 [m/s], delta_k+36 [rad], v_k+37 [m/s], delta_k+37 [rad], v_k+38 [m/s], delta_k+38 [rad], v_k+39 [m/s], delta_k+39 [rad]
-0.400263, 8.81695e-07, -2.68618e-06, -0.400263, 1.07551e-06, -2.68618e-06, 0.706269, 3.32938e-13, 0.706269, 3.32938e-13, -0.400263, 8.81695e-07, -2.68618e-06, 0, 0, 0, 1e-10, 0, 0.706269, 3.32938e-13, 0.693797, 7.88932e-08, 0.627726, 3.02403e-07, 0.567948, 6.51032e-07, 0.513851, 1.10576e-06, 0.464895, 1.64817e-06, 0.420587, 2.26063e-06, 0.380485, 2.92643e-06, 0.344188, 3.63008e-06, 0.311332, 4.34874e-06, 0.28159, 4.92729e-06, 0.254663, 5.32954e-06, 0.230283, 5.57627e-06, 0.208206, 5.68729e-06, 0.188211, 5.68117e-06, 0.170098, 5.5751e-06, 0.153686, 5.38469e-06, 0.138811, 5.124e-06, 0.125324, 4.81605e-06, 0.11309, 4.51475e-06, 0.101987, 4.2255e-06, 0.0919036, 3.94757e-06, 0.0827395, 3.68024e-06, 0.0744028, 3.42285e-06, 0.0668101, 3.17474e-06, 0.0598855, 2.93526e-06, 0.0535597, 2.70382e-06, 0.0477696, 2.4798e-06, 0.0424571, 2.26265e-06, 0.0375692, 2.05179e-06, 0.033057, 1.84668e-06, 0.0288754, 1.64679e-06, 0.0249825, 1.45159e-06, 0.0213395, 1.26058e-06, 0.0179098, 1.07327e-06, 0.0146592, 8.89158e-07, 0.0115552, 7.07767e-07, 0.00856682, 5.28622e-07, 0.00566406, 3.51255e-07, 0.00281793, 1.75201e-07
-0.372036, 9.00784e-06, -1.88986e-05, -0.372037, 9.18797e-06, -1.88986e-05, -0.0511335, 4.80778e-07, -0.0531092, 4.80778e-07, 0.0279334, 7.36077e-06, -1.84144e-05, -0.399969, 1.64708e-06, -4.8423e-07, 0.00197572, 0, -0.0531092, 4.80778e-07, -0.0480537, 1.83363e-06, -0.0434786, 3.92794e-06, -0.0393383, 6.64016e-06, -0.0355914, 9.85608e-06, -0.0322005, 1.34728e-05, -0.0291315, 1.74006e-05, -0.0263538, 2.15653e-05, -0.0238397, 2.5857e-05, -0.021564, 2.93737e-05, -0.0195039, 3.19062e-05, -0.0176389, 3.35734e-05, -0.0159502, 3.44809e-05, -0.0144211, 3.47221e-05, -0.0130361, 3.43796e-05, -0.0117816, 3.35258e-05, -0.0106448, 3.22247e-05, -0.0096145, 3.06011e-05, -0.00868034, 2.89901e-05, -0.00783297, 2.7427e-05, -0.00706394, 2.59082e-05, -0.00636555, 2.44305e-05, -0.00573081, 2.29906e-05, -0.00515338, 2.15853e-05, -0.00462748, 2.02114e-05, -0.00414786, 1.88657e-05, -0.00370972, 1.75453e-05, -0.00330867, 1.6247e-05, -0.00294072, 1.49677e-05, -0.00260216, 1.37046e-05, -0.00228963, 1.24544e-05, -0.002, 1.12144e-05, -0.00173037, 9.98127e-06, -0.00147804, 8.75217e-06, -0.00124049, 7.52401e-06, -0.00101534, 6.29371e-06, -0.000800352, 5.05817e-06, -0.000593364, 3.81424e-06, -0.00039231, 2.55874e-06, -0.000195179, 1.28843e-06
-0.374084, 1.49752e-05, -2.93891e-05, -0.374086, 1.51563e-05, -2.93891e-05, -0.0408741, 2.69647e-06, -0.048777, 2.69647e-06, 0.0256548, 1.33282e-05, -2.89048e-05, -0.399739, 1.64697e-06, -4.8423e-07, 0.0079029, 0, -0.048777, 2.69647e-06, -0.0441338, 5.7595e-06, -0.039932, 9.7093e-06, -0.0361294, 1.43756e-05, -0.0326882, 1.96106e-05, -0.0295738, 2.52922e-05, -0.0267552, 3.13281e-05, -0.0242041, 3.75817e-05, -0.021895, 4.27599e-05, -0.019805, 4.65648e-05, -0.0179129, 4.91653e-05, -0.0162, 5.07048e-05, -0.0146491, 5.13045e-05, -0.0132447, 5.10674e-05, -0.0119728, 5.00809e-05, -0.0108205, 4.84204e-05, -0.00977649, 4.62566e-05, -0.00883023, 4.40895e-05, -0.00797226, 4.19731e-05, -0.00719402, 3.99032e-05, -0.00648772, 3.7876e-05, -0.0058463, 3.58873e-05, -0.00526333, 3.39333e-05, -0.00473301, 3.20098e-05, -0.00425001, 3.01129e-05, -0.00380951, 2.82387e-05, -0.00340711, 2.6383e-05, -0.00303878, 2.4542e-05, -0.00270083, 2.27114e-05, -0.0023899, 2.08873e-05, -0.00210286, 1.90654e-05, -0.00183686, 1.72415e-05, -0.00158922, 1.54113e-05, -0.00135747, 1.35705e-05, -0.0011393, 1.17147e-05, -0.000932519, 9.83917e-06, -0.000735065, 7.93939e-06, -0.000544962, 6.01055e-06, -0.000360308, 4.04776e-06, -0.000179258, 2.04598e-06
-0.375188, 3.33785e-05, -5.41846e-05, -0.375194, 3.35601e-05, -5.41846e-05, -0.0277065, 9.01843e-06, -0.045488, 9.01843e-06, 0.0239249, 3.17318e-05, -5.37004e-05, -0.399113, 1.64666e-06, -4.8423e-07, 0.0177815, 0, -0.045488, 9.01843e-06, -0.0411579, 1.50818e-05, -0.0372394, 2.21662e-05, -0.0336932, 3.00508e-05, -0.030484, 3.85833e-05, -0.0275797, 4.76879e-05, -0.0249511, 5.72524e-05, -0.022572, 6.53846e-05, -0.0204187, 7.16578e-05, -0.0184695, 7.63165e-05, -0.0167051, 7.95374e-05, -0.0151077, 8.14445e-05, -0.0136614, 8.21236e-05, -0.0123516, 8.16328e-05, -0.0111654, 8.00142e-05, -0.0100909, 7.7482e-05, -0.00911727, 7.48491e-05, -0.00823481, 7.22091e-05, -0.0074347, 6.95595e-05, -0.00670894, 6.68974e-05, -0.00605026, 6.42197e-05, -0.00545209, 6.15231e-05, -0.00490843, 5.88038e-05, -0.00441387, 5.60579e-05, -0.00396344, 5.32812e-05, -0.00355264, 5.04692e-05, -0.00317737, 4.76171e-05, -0.00283388, 4.47198e-05, -0.00251872, 4.17718e-05, -0.00222875, 3.87676e-05, -0.00196107, 3.57008e-05, -0.001713, 3.25653e-05, -0.00148206, 2.93541e-05, -0.00126594, 2.60601e-05, -0.00106248, 2.26759e-05, -0.00086964, 1.91935e-05, -0.000685501, 1.56045e-05, -0.000508216, 1.19001e-05, -0.000336013, 8.07113e-06, -0.000167171, 4.1079e-06
-0.375982, 2.97407e-05, -4.94162e-05, -0.375988, 2.99227e-05, -4.94162e-05, -0.0100503, 1.39177e-05, -0.0416619, 1.39177e-05, 0.0219126, 2.80947e-05, -4.89319e-05, -0.397895, 1.64607e-06, -4.8423e-07, 0.0316116, 0, -0.0416619, 1.39177e-05, -0.037696, 2.04669e-05, -0.0341071, 2.776e-05, -0.0308592, 3.56544e-05, -0.02792, 4.40759e-05, -0.0252599, 5.2915e-05, -0.0228524, 6.04187e-05, -0.0206734, 6.61919e-05, -0.0187012, 7.04627e-05, -0.016916, 7.3398e-05, -0.0153, 7.51173e-05, -0.0138369, 7.57045e-05, -0.0125123, 7.52183e-05, -0.0113127, 7.37014e-05, -0.0102263, 7.13538e-05, -0.00924214, 6.89248e-05, -0.0083504, 6.65004e-05, -0.00754217, 6.40783e-05, -0.00680935, 6.16557e-05, -0.00614463, 5.92298e-05, -0.00554136, 5.67975e-05, -0.0049935, 5.43556e-05, -0.00449557, 5.19005e-05, -0.00404261, 4.94285e-05, -0.00363006, 4.69357e-05, -0.00325382, 4.44179e-05, -0.00291012, 4.18706e-05, -0.00259551, 3.92893e-05, -0.00230687, 3.6669e-05, -0.00204129, 3.40044e-05, -0.00179612, 3.12903e-05, -0.00156891, 2.85208e-05, -0.0013574, 2.56899e-05, -0.00115946, 2.27912e-05, -0.000973109, 1.98181e-05, -0.000796493, 1.67637e-05, -0.000627842, 1.36205e-05, -0.000465469, 1.03808e-05, -0.00030775, 7.03656e-06, -0.00015311, 3.57933e-06
-0.377509, 2.50177e-05, -3.51111e-05, -0.377513, 2.52005e-05, -3.51111e-05, 0.0144527, 1.19191e-05, -0.0349404, 1.19191e-05, 0.0183773, 2.33726e-05, -3.46269e-05, -0.395886, 1.6451e-06, -4.8423e-07, 0.0493931, 0, -0.0349404, 1.19191e-05, -0.0316144, 1.60371e-05, -0.0286044, 2.04736e-05, -0.0258806, 2.52288e-05, -0.0234155, 3.03035e-05, -0.0211846, 3.4746e-05, -0.0191655, 3.83501e-05, -0.0173381, 4.12399e-05, -0.0156841, 4.34851e-05, -0.0141869, 4.5115e-05, -0.0128316, 4.61314e-05, -0.0116046, 4.65186e-05, -0.0104936, 4.62527e-05, -0.00948759, 4.54174e-05, -0.00857644, 4.44747e-05, -0.00775106, 4.34816e-05, -0.00700319, 4.2439e-05, -0.00632535, 4.13477e-05, -0.00571077, 4.02081e-05, -0.00515329, 3.90203e-05, -0.00464735, 3.77841e-05, -0.00418788, 3.64991e-05, -0.00377028, 3.51644e-05, -0.00339039, 3.37791e-05, -0.00304441, 3.23418e-05, -0.00272887, 3.08508e-05, -0.00244061, 2.93042e-05, -0.00217677, 2.76997e-05, -0.00193469, 2.60349e-05, -0.00171196, 2.4307e-05, -0.00150634, 2.25127e-05, -0.00131579, 2.06486e-05, -0.0011384, 1.8711e-05, -0.000972396, 1.66958e-05, -0.000816113, 1.45986e-05, -0.000667991, 1.24145e-05, -0.000526549, 1.01386e-05, -0.000390373, 7.76517e-06, -0.0002581, 5.28851e-06, -0.000128408, 2.70241e-06
-0.377917, 2.45819e-05, -3.36806e-05, -0.377922, 2.47649e-05, -3.36806e-05, 0.0426591, 1.44768e-05, -0.0284669, 1.44768e-05, 0.0149725, 2.29383e-05, -3.31964e-05, -0.39289, 1.64365e-06, -4.8423e-07, 0.0711261, 0, -0.0284669, 1.44768e-05, -0.0257571, 1.84411e-05, -0.0233048, 2.26952e-05, -0.0210856, 2.72594e-05, -0.0190773, 3.12941e-05, -0.0172597, 3.46213e-05, -0.0156147, 3.73517e-05, -0.0141258, 3.9541e-05, -0.0127783, 4.12046e-05, -0.0115584, 4.23303e-05, -0.0104542, 4.28892e-05, -0.00945456, 4.28447e-05, -0.00854943, 4.22625e-05, -0.0077298, 4.1568e-05, -0.00698747, 4.08148e-05, -0.00631501, 4.00046e-05, -0.00570569, 3.91388e-05, -0.00515344, 3.82186e-05, -0.00465272, 3.72448e-05, -0.00419853, 3.62177e-05, -0.00378632, 3.51377e-05, -0.00341198, 3.40045e-05, -0.00307175, 3.28177e-05, -0.00276225, 3.15767e-05, -0.00248036, 3.02803e-05, -0.00222328, 2.89272e-05, -0.00198844, 2.75159e-05, -0.00177347, 2.60444e-05, -0.00157624, 2.45105e-05, -0.00139478, 2.29117e-05, -0.00122726, 2.12452e-05, -0.00107201, 1.95078e-05, -0.000927489, 1.7696e-05, -0.000792238, 1.58061e-05, -0.00066491, 1.3834e-05, -0.000544231, 1.17752e-05, -0.000428994, 9.62492e-06, -0.000318047, 7.37799e-06, -0.000210281, 5.02887e-06, -0.000104617, 2.57172e-06
-0.375371, 2.55887e-05, -3.70185e-05, -0.375377, 2.57704e-05, -3.70185e-05, 0.0714544, 2.1468e-05, -0.0253561, 2.1468e-05, 0.0133363, 2.3947e-05, -3.65342e-05, -0.388708, 1.64162e-06, -4.8423e-07, 0.0968105, 0, -0.0253561, 2.1468e-05, -0.0229424, 2.64427e-05, -0.0207581, 3.17519e-05, -0.0187814, 3.6402e-05, -0.0169925, 4.01806e-05, -0.0153736, 4.32201e-05, -0.0139083, 4.55948e-05, -0.0125822, 4.73358e-05, -0.0113819, 4.84439e-05, -0.0102954, 4.89011e-05, -0.00931181, 4.86796e-05, -0.00842138, 4.7865e-05, -0.00761517, 4.69428e-05, -0.0068851, 4.59731e-05, -0.00622389, 4.49573e-05, -0.00562491, 4.38964e-05, -0.00508219, 4.27914e-05, -0.00459028, 4.16426e-05, -0.00414428, 4.04502e-05, -0.00373972, 3.92141e-05, -0.00337256, 3.7934e-05, -0.00303912, 3.66092e-05, -0.00273608, 3.52388e-05, -0.00246039, 3.38216e-05, -0.00220931, 3.23561e-05, -0.00198033, 3.08404e-05, -0.00177114, 2.92726e-05, -0.00157967, 2.76504e-05, -0.00140399, 2.5971e-05, -0.00124236, 2.42317e-05, -0.00109315, 2.24292e-05, -0.000954866, 2.05599e-05, -0.000826134, 1.86202e-05, -0.000705664, 1.66059e-05, -0.00059225, 1.45125e-05, -0.000484758, 1.23353e-05, -0.000382114, 1.00692e-05, -0.000283292, 7.70857e-06, -0.000187302, 5.24772e-06, -9.3185e-05, 2.68047e-06
-0.372242, 2.46733e-05, -3.60648e-05, -0.372248, 2.48535e-05, -3.60648e-05, 0.105721, 2.56198e-05, -0.0207258, 2.56198e-05, 0.010901, 2.30344e-05, -3.55805e-05, -0.383143, 1.63893e-06, -4.8423e-07, 0.126446, 0, -0.0207258, 2.56198e-05, -0.0187529, 3.07588e-05, -0.0169674, 3.52628e-05, -0.0153517, 3.89284e-05, -0.0138895, 4.18848e-05, -0.0125662, 4.42042e-05, -0.0113685, 4.5916e-05, -0.0102845, 4.70199e-05, -0.0093034, 4.74966e-05, -0.00841531, 4.73172e-05, -0.00761137, 4.65629e-05, -0.00688354, 4.57052e-05, -0.00622455, 4.48027e-05, -0.0056278, 4.38569e-05, -0.00508733, 4.28692e-05, -0.00459774, 4.18403e-05, -0.00415412, 4.0771e-05, -0.00375204, 3.96616e-05, -0.00338749, 3.85123e-05, -0.0030568, 3.73229e-05, -0.00275669, 3.6093e-05, -0.00248414, 3.48219e-05, -0.00223644, 3.35087e-05, -0.0020111, 3.21522e-05, -0.00180587, 3.07509e-05, -0.0016187, 2.9303e-05, -0.00144771, 2.78067e-05, -0.0012912, 2.62597e-05, -0.00114761, 2.46594e-05, -0.00101549, 2.30032e-05, -0.000893525, 2.12878e-05, -0.000780497, 1.951e-05, -0.000675273, 1.76661e-05, -0.000576801, 1.57523e-05, -0.000484098, 1.37642e-05, -0.000396236, 1.16974e-05, -0.000312336, 9.54697e-06, -0.000231559, 7.30773e-06, -0.000153098, 4.97415e-06, -7.61683e-05, 2.5404e-06
-0.366585, 2.39204e-05, -3.46343e-05, -0.366591, 2.40979e-05, -3.46343e-05, 0.14181, 2.84396e-05, -0.0178989, 2.84396e-05, 0.00941413, 2.2285e-05, -3.415e-05, -0.375999, 1.63546e-06, -4.8423e-07, 0.159709, 0, -0.0178989, 2.84396e-05, -0.0161951, 3.26242e-05, -0.0146532, 3.60635e-05, -0.0132578, 3.88774e-05, -0.011995, 4.11285e-05, -0.0108522, 4.28374e-05, -0.00981791, 4.39948e-05, -0.00888178, 4.45734e-05, -0.00803447, 4.45366e-05, -0.00726751, 4.39527e-05, -0.00657322, 4.3264e-05, -0.00594466, 4.25262e-05, -0.00537555, 4.17414e-05, -0.0048602, 4.0911e-05, -0.00439345, 4.00367e-05, -0.00397063, 3.91193e-05, -0.00358752, 3.81599e-05, -0.00324028, 3.71588e-05, -0.00292545, 3.61165e-05, -0.00263987, 3.50328e-05, -0.00238069, 3.39076e-05, -0.00214532, 3.27404e-05, -0.0019314, 3.15304e-05, -0.00173679, 3.02765e-05, -0.00155956, 2.89775e-05, -0.00139791, 2.7632e-05, -0.00125025, 2.6238e-05, -0.00111509, 2.47936e-05, -0.000991081, 2.32964e-05, -0.000876983, 2.1744e-05, -0.000771654, 2.01334e-05, -0.000674041, 1.84615e-05, -0.000583169, 1.6725e-05, -0.000498129, 1.49201e-05, -0.00041807, 1.3043e-05, -0.000342191, 1.10893e-05, -0.000269735, 9.05439e-06, -0.000199976, 6.93344e-06, -0.000132217, 4.72117e-06, -6.57794e-05, 2.41207e-06
