vel_fl [m/s], vel_fr [m/s], vel_bl [m/s], vel_br [m/s], steer_fl [rad], steer_fr [rad], steer_bl [rad], steer_br [rad]
0,0,0,0,6.27594,6.27598,0,6.28318
0,0,0,0,6.27581,6.2757,0,6.28318
0,0,0,0,6.27566,6.27552,0,6.28318
0,0,0,0,6.27545,6.27544,0,6.28318
0,0,0,0,6.27509,6.27535,0,6.28318
0,0,0,0,6.27494,6.27524,0,6.28318
0,0,0,0,6.27491,6.27509,0,6.28318
0,0,0,0,6.27489,6.27489,0,6.28318
0,0,0,0,6.27486,6.27463,0,6.28318
0,0,0,0,6.2748,6.27446,0,6.28318
0,0,0,0,6.2747,6.27442,0,6.28318
0,0,0,0,6.27456,6.27439,0,6.28318
0,0,0,0,6.27433,6.27434,0,6.28318
0,0,0,0,6.27406,6.27427,0,6.28318
0,0,0,0,6.27396,6.27417,0,6.28318
0,0,0,0,6.27393,6.27403,0,6.28318
0,0,0,0,6.27388,6.27386,0,6.28318
0,0,0,0,6.2738,6.27351,0,6.28318
0,0,0,0,6.27368,6.27332,0,6.28318
0,0,0,0,6.27355,6.2733,0,6.28318
0,0,0,0,6.2734,6.27328,0,6.28318
0,0,0,0,6.2731,6.27325,0,6.28318
0,0,0,0,6.2728,6.27318,0,6.28317
0,0,0,0,6.27275,6.27306,0,6.28317
0,0,0,0,6.27273,6.2729,0,6.28317
0,0,0,0,6.27271,6.27271,0,6.28317
0,0,0,0,6.27268,6.27239,0,6.28317
0,0,0,0,6.2726,6.27224,0,6.28317
0,0,0,0,6.2725,6.27221,0,6.28317
0,0,0,0,6.27236,6.27218,0,6.28316
0,0,0,0,6.2722,6.27214,0,6.28316
0,0,0,0,6.27194,6.27209,0,6.28316
0,0,0,0,6.27175,6.272,0,6.28316
0,0,0,0,6.27166,6.27184,0,6.28316
0,0,0,0,6.2716,6.27162,0,6.28316
0,0,0,0,6.27153,6.27136,0,6.28316
0,0,0,0,6.27141,6.27122,0,6.28316
0,0,0,0,6.27115,6.27117,0,6.28316
0,0,0,0,6.27075,6.27113,6.28318,6.28316
0,0,0,0,6.27061,6.27105,6.28318,6.28316
0,0,0,0,6.2706,6.27094,6.28318,6.28316
0,0,0,0,6.27059,6.27081,6.28318,6.28316
0,0,0,0,6.27058,6.27061,6.28318,6.28316
0,0,0,0,6.27056,6.27027,6.28318,6.28316
0,0,0,0,6.2705,6.27006,6.28318,6.28316
0,0,0,0,6.2704,6.27003,6.28318,6.28315
0,0,0,0,6.27025,6.27001,6.28318,6.28315
0,0,0,0,6.27002,6.26996,6.28318,6.28315
0,0,0,0,6.26968,6.2699,6.28318,6.28315
0,0,0,0,6.26954,6.26979,6.28318,6.28315
0,0,0,0,6.26951,6.26964,6.28318,6.28315
0,0,0,0,6.26948,6.26945,6.28318,6.28315
0,0,0,0,6.26941,6.26922,6.28318,6.28315
0,0,0,0,6.26931,6.26907,6.28318,6.28315
0,0,0,0,6.26917,6.26901,6.28318,6.28315
0,0,0,0,6.26896,6.26893,6.28318,6.28315
0,0,0,0,6.26856,6.26883,6.28318,6.28315
0,0,0,0,6.26833,6.26872,6.28318,6.28315
0,0,0,0,6.26828,6.26856,6.28318,6.28315
0,0,0,0,6.26825,6.26831,6.28318,6.28315
0,0,0,0,6.2682,6.26801,6.28318,6.28315
0,0,0,0,6.26813,6.2679,6.28318,6.28315
0,0,0,0,6.26803,6.26789,6.28318,6.28315
0.00633666,0,0,0,6.26789,6.26788,6.28318,6.28315
0,0,0,0,6.26768,6.26785,6.28318,6.28315
0,0,0,0,6.26749,6.2678,6.28318,6.28315
0,0,0,0,6.26743,6.26771,6.28318,6.28315
0,0,0,0,6.26738,6.26753,6.28318,6.28314
0,0,0,0,6.26732,6.2673,6.28318,6.28314
0,0,0,0,6.26722,6.26712,6.28318,6.28314
0,0,0,0,6.26711,6.26699,6.28318,6.28314
0,0,0,0,6.26696,6.2669,6.28318,6.28314
0,0,0,0,6.26671,6.26684,6.28318,6.28313
0,0,0,0,6.26634,6.26677,6.28318,6.28313
0,0,0,0,6.26622,6.26667,6.28318,6.28313
0,0,0,0,6.26621,6.26654,6.28318,6.28313
0,0,0,0,6.2662,6.26637,6.28318,6.28313
0,0,0,0,6.26616,6.26612,6.28318,6.28312
0,0,0,0,6.2661,6.26585,6.28318,6.28312
0,0,0,0,6.266,6.26575,6.28318,6.28312
0,0,0,0,6.26584,6.26572,6.28318,6.28312
0,0,0,0,6.2656,6.26567,6.28318,6.28312
0,0,0,0,6.26527,6.26561,6.28318,6.28312
0,0,0,0,6.26507,6.26552,6.28318,6.28312
0,0,0,0,6.265,6.26541,6.28318,6.28312
0,0.00633638,0,0,6.26494,6.26527,6.28318,6.28312
0,0,0,0,6.26485,6.26503,6.28318,6.28312
0,0,0,0,6.26469,6.2648,6.28318,6.28312
0,0,0,0,6.2644,6.26471,6.28318,6.28312
0,0,0,0,6.26411,6.26467,6.28318,6.28312
0,0,0,0,6.26405,6.26464,6.28318,6.28312
0,0,0,0,6.26403,6.26459,6.28318,6.28312
0,0,0,0,6.26399,6.2645,6.28318,6.28312
0,0,0,0,6.26394,6.26439,6.28318,6.28312
0,0,0,0,6.26385,6.26423,6.28318,6.28312
0.006393,0,0,0,6.26367,6.26401,6.28318,6.28312
0,0,0,0,6.26341,6.26373,6.28318,6.28312
0,0,0,0,6.26325,6.26356,6.28318,6.28312
0,0,0,0,6.26317,6.26345,6.28318,6.28312
0,0,0,0,6.26315,6.26341,6.28318,6.28312
0,0,0,0,6.26312,6.26338,6.28318,6.28312
0,0,0,0,6.26306,6.26328,6.28318,6.28312
0,0,0,0,6.26298,6.26312,6.28318,6.28312
0,0,0,0,6.2629,6.26294,6.28318,6.28312
0,0,0,0,6.26278,6.26276,6.28318,6.28312
0,0,0,0,6.2626,6.26261,6.28318,6.28312
0,0,0,0,6.26234,6.26257,6.28318,6.28312
0,0,0,0,6.262,6.26252,6.28318,6.28312
0,0,0,0,6.26187,6.26242,6.28318,6.28312
0,0,0,0,6.26185,6.26233,6.28318,6.28312
0,0,0,0,6.26183,6.26221,6.28318,6.28312
0,0,0,0,6.26179,6.26202,6.28318,6.28311
0,0,0,0,6.26173,6.26172,6.28318,6.28311
0,0,0,0,6.26164,6.26142,6.28318,6.28311
0,0,0,0,6.2615,6.26128,6.28318,6.28311
0,0,0,0,6.2613,6.26126,6.28318,6.28311
0,0,0,0,6.26109,6.26123,6.28318,6.28311
0,0,0,0,6.26094,6.26118,6.28318,6.28311
0,0,0,0,6.26086,6.26111,6.28318,6.28311
0,0,0,0,6.26078,6.26099,6.28318,6.28311
0,0,0,0,6.26069,6.26079,6.28318,6.28311
0,0,0,0,6.26057,6.26055,6.28318,6.2831
0,0,0,0,6.26044,6.2604,6.28318,6.2831
0,0,0,0,6.26017,6.26031,6.28318,6.2831
0,0,0,0,6.25981,6.26025,6.28318,6.2831
0,0,0,0,6.2597,6.26017,6.28318,6.2831
0,0,0,0,6.25968,6.26006,6.28318,6.2831
0,0,0,0,6.25966,6.25991,6.28318,6.2831
0,0,0,0,6.25962,6.25974,6.28318,6.2831
0,0,0,0,6.25955,6.25944,6.28318,6.2831
0,0,0,0,6.25944,6.25923,6.28318,6.2831
0,0,0,0,6.25921,6.25918,6.28318,6.2831
0,0,0,0,6.2587,6.25915,6.28318,6.2831
0,0,0,0,6.2585,6.25911,6.28318,6.28309
0,0,0,0,6.25847,6.25904,6.28318,6.28309
