time_stamp [], x_pos [m], y_pos [m], heading [rad], x_vel [m/s], y_vel [m/s], ang_vel [rad/s]
1640150530.147503376,4.7131e-05,-3.60931e-08,-5.8953e-05,6.00501e-09,-2.36974e-12,-1.00749e-08
1640150530.203591824,4.71313e-05,-3.60933e-08,-5.89535e-05,6.25132e-09,-1.69186e-12,-1.00749e-08
1640150530.247528553,4.7131e-05,-3.60931e-08,-5.8953e-05,5.7379e-09,-9.61247e-13,-9.50988e-09
1640150530.327626944,4.7131e-05,-3.60931e-08,-5.8953e-05,5.52717e-09,5.57957e-14,-9.07958e-09
1640150530.367655993,4.7131e-05,-3.60931e-08,-5.8953e-05,5.42374e-09,5.29264e-13,-8.87233e-09
1640150530.407568455,4.7131e-05,-3.60931e-08,-5.8953e-05,5.32158e-09,9.79231e-13,-8.6704e-09
1640150530.447517872,4.7131e-05,-3.60931e-08,-5.8953e-05,5.22033e-09,1.4082e-12,-8.4729e-09
1640150530.504895926,4.71313e-05,-3.6093e-08,-5.89534e-05,5.42912e-09,2.10454e-12,-8.4729e-09
1640150530.547829866,4.7131e-05,-3.60931e-08,-5.8953e-05,4.97059e-09,2.3955e-12,-7.9965e-09
1640150530.627558231,4.7131e-05,-3.60931e-08,-5.8953e-05,4.77624e-09,3.0933e-12,-7.63636e-09
1640150530.667686939,4.7131e-05,-3.60931e-08,-5.8953e-05,4.68056e-09,3.41764e-12,-7.46172e-09
1640150530.707677603,5.49705e-05,-3.01573e-07,-4.89394e-05,9.10758e-06,-3.07725e-07,5.69995e-06
1640150530.747706652,5.49706e-05,-3.01574e-07,-4.89394e-05,8.81833e-06,-2.97949e-07,5.56994e-06
1640150530.806114197,5.54912e-05,-3.1919e-07,-4.86141e-05,9.00918e-06,-3.04395e-07,5.56994e-06
1640150530.846284151,5.52981e-05,-3.12655e-07,-4.8731e-05,8.51601e-06,-2.87729e-07,5.38071e-06
1640150530.927619696,5.49706e-05,-3.01574e-07,-4.89394e-05,7.60312e-06,-2.56881e-07,5.0204e-06
1640150530.967556477,5.49706e-05,-3.01574e-07,-4.89394e-05,7.35241e-06,-2.48409e-07,4.90619e-06
1640150531.007529974,5.49706e-05,-3.01574e-07,-4.89394e-05,7.10787e-06,-2.40145e-07,4.79448e-06
1640150531.067310572,5.53997e-05,-3.16093e-07,-4.86528e-05,7.24806e-06,-2.44878e-07,4.79448e-06
1640150531.107423782,5.52432e-05,-3.10798e-07,-4.87536e-05,6.83988e-06,-2.31086e-07,4.63185e-06
1640150531.147537470,5.52327e-05,-3.10444e-07,-4.87586e-05,6.60399e-06,-2.23114e-07,4.52559e-06
1640150531.227793217,5.49706e-05,-3.01574e-07,-4.89394e-05,5.86849e-06,-1.98262e-07,4.22223e-06
1640150531.267905235,6.28116e-05,-5.67037e-07,-3.94027e-05,1.47627e-05,-4.98948e-07,9.55735e-06
1640150531.308043242,6.28117e-05,-5.67039e-07,-3.94026e-05,1.42721e-05,-4.82365e-07,9.33887e-06
1640150531.368275404,6.36799e-05,-5.96419e-07,-3.88401e-05,1.45593e-05,-4.92068e-07,9.33887e-06
1640150531.408417225,6.33594e-05,-5.85574e-07,-3.90406e-05,1.37344e-05,-4.64187e-07,9.01968e-06
1640150531.448575735,6.3341e-05,-5.84951e-07,-3.90487e-05,1.32653e-05,-4.48332e-07,8.81343e-06
1640150531.528963089,7.06528e-05,-8.59731e-07,-4.79857e-05,2.03156e-05,-7.1638e-07,3.55326e-06
1640150531.569077969,7.06528e-05,-8.59731e-07,-4.79857e-05,1.96278e-05,-6.92172e-07,3.47205e-06
1640150531.609240532,6.28042e-05,-8.59354e-07,-3.89258e-05,9.84569e-06,-6.68566e-07,8.55425e-06
1640150531.649389982,6.28042e-05,-8.59354e-07,-3.89258e-05,9.48314e-06,-6.45587e-07,8.35859e-06
1640150531.709585667,6.33791e-05,-8.98595e-07,-3.84226e-05,9.62075e-06,-6.57441e-07,8.35859e-06
1640150531.789797068,6.31514e-05,-8.832e-07,-3.86094e-05,8.69577e-06,-5.97543e-07,7.88852e-06
1640150531.807545424,6.28042e-05,-8.59354e-07,-3.89258e-05,8.14964e-06,-5.60755e-07,7.62923e-06
1640150531.870118856,6.3146e-05,-8.82957e-07,-3.86046e-05,8.05891e-06,-5.56997e-07,7.54136e-06
1640150531.910256147,6.28042e-05,-8.59354e-07,-3.89258e-05,7.36219e-06,-5.10427e-07,7.19029e-06
1640150531.990560055,6.30892e-05,-8.79224e-07,-3.86435e-05,7.11785e-06,-4.96589e-07,7.0259e-06
1640150532.030748606,6.28042e-05,-8.59354e-07,-3.89258e-05,6.51148e-06,-4.55834e-07,6.70775e-06
1640150532.090923071,6.31977e-05,-8.86987e-07,-3.85222e-05,6.5677e-06,-4.62078e-07,6.70775e-06
1640150532.131036520,6.305e-05,-8.76695e-07,-3.86659e-05,6.14442e-06,-4.33903e-07,6.47857e-06
1640150532.167492628,6.28042e-05,-8.59354e-07,-3.89258e-05,5.63292e-06,-3.99167e-07,6.19795e-06
1640150532.211334705,6.30517e-05,-8.76939e-07,-3.86541e-05,5.65762e-06,-4.02572e-07,6.19795e-06
1640150532.251480818,6.28042e-05,-8.59354e-07,-3.89258e-05,5.13739e-06,-3.67067e-07,5.90425e-06
1640150532.331788540,6.28042e-05,-8.59354e-07,-3.89258e-05,4.69383e-06,-3.38243e-07,5.63715e-06
1640150532.371902704,6.28042e-05,-8.59354e-07,-3.89258e-05,4.4825e-06,-3.24475e-07,5.50828e-06
1640150532.432170630,6.30745e-05,-8.79001e-07,-3.85938e-05,4.4887e-06,-3.27168e-07,5.50828e-06
1640150532.472299337,6.29718e-05,-8.7161e-07,-3.87123e-05,4.17639e-06,-3.05976e-07,5.31981e-06
1640150532.507515669,6.28042e-05,-8.59354e-07,-3.89258e-05,3.81497e-06,-2.80815e-07,5.09301e-06
1640150532.552586555,6.29759e-05,-8.72044e-07,-3.86963e-05,3.80828e-06,-2.82002e-07,5.09301e-06
1640150532.592700481,6.28042e-05,-8.59354e-07,-3.89258e-05,3.43188e-06,-2.55636e-07,4.84835e-06
1640150532.672923803,6.28042e-05,-8.59354e-07,-3.89258e-05,3.09553e-06,-2.33448e-07,4.62925e-06
1640150532.713037252,6.28042e-05,-8.59354e-07,-3.89258e-05,2.9356e-06,-2.22868e-07,4.52343e-06
1640150532.773269176,6.29801e-05,-8.72791e-07,-3.86533e-05,2.90806e-06,-2.23066e-07,4.52343e-06
1640150532.813440084,6.29124e-05,-8.67695e-07,-3.87503e-05,2.6837e-06,-2.07479e-07,4.36875e-06
1640150532.847524881,6.28042e-05,-8.59354e-07,-3.89258e-05,2.43674e-06,-1.89715e-07,4.18514e-06
1640150532.887644768,6.28042e-05,-8.59354e-07,-3.89258e-05,2.29863e-06,-1.80492e-07,4.08897e-06
1640150532.974072218,6.28042e-05,-8.59354e-07,-3.89258e-05,2.01768e-06,-1.61675e-07,3.88981e-06
1640150533.014191389,6.28042e-05,-8.59354e-07,-3.89258e-05,1.89459e-06,-1.53403e-07,3.8009e-06
1640150533.054328918,6.28042e-05,-8.59354e-07,-3.89258e-05,1.77579e-06,-1.45402e-07,3.71398e-06
1640150533.107606411,6.28042e-05,-8.59354e-07,-3.89258e-05,1.62447e-06,-1.35179e-07,3.60145e-06
1640150533.154715300,6.28797e-05,-8.65694e-07,-3.87561e-05,1.58429e-06,-1.33866e-07,3.60145e-06
1640150533.187479734,6.28042e-05,-8.59354e-07,-3.89258e-05,1.41075e-06,-1.20678e-07,3.43856e-06
1640150533.275323868,6.28042e-05,-8.59354e-07,-3.89258e-05,1.19362e-06,-1.0587e-07,3.26809e-06
1640150533.315484047,6.28042e-05,-8.59354e-07,-3.89258e-05,1.10045e-06,-9.94922e-08,3.19335e-06
1640150533.355732441,6.28042e-05,-8.59354e-07,-3.89258e-05,1.0106e-06,-9.33253e-08,3.12016e-06
1640150533.407486200,6.28042e-05,-8.59354e-07,-3.89258e-05,9.00037e-07,-8.5709e-08,3.02833e-06
1640150533.456096172,6.28467e-05,-8.63472e-07,-3.87786e-05,8.50464e-07,-8.36413e-08,3.02833e-06
1640150533.487562895,6.28042e-05,-8.59354e-07,-3.89258e-05,7.39563e-07,-7.4596e-08,2.89109e-06
1640150533.576565504,6.28042e-05,-8.59354e-07,-3.89258e-05,5.75882e-07,-6.31882e-08,2.74599e-06
1640150533.616760254,6.28042e-05,-8.59354e-07,-3.89258e-05,5.06829e-07,-5.83532e-08,2.68316e-06
1640150533.656938314,6.28042e-05,-8.59354e-07,-3.89258e-05,4.40635e-07,-5.3702e-08,2.62178e-06
1640150533.697075605,6.28042e-05,-8.59354e-07,-3.89258e-05,3.7725e-07,-4.9232e-08,2.56186e-06
1640150533.747696161,6.28042e-05,-8.59354e-07,-3.89258e-05,3.01064e-07,-4.38347e-08,2.4881e-06
1640150533.827566147,6.28042e-05,-8.59354e-07,-3.89258e-05,1.89047e-07,-3.5844e-08,2.37566e-06
1640150533.867867231,6.28042e-05,-8.59354e-07,-3.89258e-05,1.36211e-07,-3.20523e-08,2.32092e-06
