time_stamp [], x_pos [m], y_pos [m], heading [rad], x_vel [m/s], y_vel [m/s], ang_vel [rad/s]
1640236025.741091251,0.000195807,-1.93941e-06,2.87229e-09,3.99198e-06,-6.45468e-09,8.6696e-11
1640236025.761176109,0.0001957,-1.93924e-06,2.87833e-09,3.8039e-06,-6.11201e-09,8.69008e-11
1640236025.801322937,0.000195854,-1.93948e-06,2.88182e-09,3.85844e-06,-6.12381e-09,8.69008e-11
1640236025.841539860,0.000187855,-1.94274e-06,2.88329e-09,-5.54486e-06,-9.64278e-09,8.67016e-11
1640236025.941993237,0.000187641,-1.94311e-06,2.88141e-09,-5.36992e-06,-9.12124e-09,8.61981e-11
1640236025.974364996,0.000187855,-1.94274e-06,2.87291e-09,-4.98993e-06,-8.40636e-09,8.56625e-11
1640236026.014354229,0.000187855,-1.94274e-06,2.87073e-09,-4.83126e-06,-8.05709e-09,8.53967e-11
1640236026.062474251,0.00018762,-1.94313e-06,2.87484e-09,-4.91782e-06,-8.10197e-09,8.53967e-11
1640236026.102684498,0.000187666,-1.94305e-06,2.87203e-09,-4.71396e-06,-7.68166e-09,8.51022e-11
1640236026.142878532,0.000187855,-1.94274e-06,2.86618e-09,-4.34944e-06,-7.00727e-09,8.46655e-11
1640236026.243342876,0.000196019,-1.94762e-06,2.91516e-09,5.08849e-06,-1.1707e-08,8.66857e-11
1640236026.274258852,0.000195773,-1.94705e-06,2.933e-09,4.68604e-06,-1.07054e-08,8.73999e-11
1640236026.314317942,0.000195773,-1.94705e-06,2.94332e-09,4.539e-06,-1.02774e-08,8.77203e-11
1640236026.363859415,0.000196,-1.94756e-06,2.94766e-09,4.62531e-06,-1.03579e-08,8.77203e-11
1640236026.404015064,0.000195949,-1.94744e-06,2.95897e-09,4.42825e-06,-9.82202e-09,8.80852e-11
1640236026.444180965,0.000195773,-1.94705e-06,2.97373e-09,4.08827e-06,-8.97798e-09,8.86101e-11
1640236026.524514675,0.000195892,-1.94731e-06,2.98707e-09,3.96636e-06,-8.53613e-09,8.88999e-11
1640236026.574431658,0.000195773,-1.94705e-06,3.00034e-09,3.67077e-06,-7.79487e-09,8.9311e-11
1640236026.614292383,0.000195773,-1.94705e-06,3.00783e-09,3.54984e-06,-7.45598e-09,8.94936e-11
1640236026.665095329,0.000195954,-1.94743e-06,3.01237e-09,3.61088e-06,-7.47854e-09,8.94936e-11
1640236026.705290794,0.000187696,-1.94888e-06,3.03778e-09,-5.77675e-06,-8.7892e-09,9.04099e-11
1640236026.745546818,0.000187703,-1.94887e-06,3.03166e-09,-5.59754e-06,-8.4113e-09,8.99572e-11
1640236026.785786152,0.00018771,-1.94885e-06,3.0262e-09,-5.42216e-06,-8.04427e-09,8.95361e-11
1640236026.874370813,0.000187926,-1.94853e-06,3.0091e-09,-4.81587e-06,-6.93465e-09,8.83807e-11
1640236026.914341688,0.000187926,-1.94853e-06,3.006e-09,-4.66194e-06,-6.61962e-09,8.80748e-11
1640236026.966591358,0.000187681,-1.94888e-06,3.0106e-09,-4.75117e-06,-6.62318e-09,8.80748e-11
1640236027.006781816,0.000187746,-1.94878e-06,3.00615e-09,-4.53092e-06,-6.21949e-09,8.77079e-11
1640236027.046980619,0.000187752,-1.94877e-06,3.00403e-09,-4.3824e-06,-5.92181e-09,8.7449e-11
1640236027.107295275,0.000196033,-1.95114e-06,2.95704e-09,5.03211e-06,-8.15333e-09,8.51402e-11
1640236027.174422503,0.000195769,-1.95071e-06,2.9863e-09,4.48209e-06,-7.09221e-09,8.62185e-11
1640236027.227926970,0.000196011,-1.95109e-06,2.99091e-09,4.57449e-06,-7.10435e-09,8.62185e-11
1640236027.268145323,0.000195943,-1.95098e-06,3.00332e-09,4.35953e-06,-6.66766e-09,8.66262e-11
1640236027.308348417,0.000195938,-1.95097e-06,3.01296e-09,4.21985e-06,-6.35451e-09,8.69069e-11
1640236027.348512411,0.000195907,-1.95092e-06,3.02298e-09,4.05516e-06,-6.0086e-09,8.72036e-11
1640236027.394374847,0.000195769,-1.95071e-06,3.03707e-09,3.74925e-06,-5.44898e-09,8.76618e-11
1640236027.474340200,0.000187917,-1.94839e-06,3.15477e-09,-5.32874e-06,-2.30335e-09,9.26193e-11
1640236027.529449940,0.00018762,-1.94851e-06,3.15987e-09,-5.44324e-06,-2.21837e-09,9.26193e-11
1640236027.569606304,0.00018771,-1.94847e-06,3.15356e-09,-5.17854e-06,-2.01031e-09,9.21663e-11
1640236027.609776020,0.000187717,-1.94846e-06,3.15059e-09,-5.01383e-06,-1.84964e-09,9.18651e-11
1640236027.649959087,0.000187723,-1.94846e-06,3.14809e-09,-4.85312e-06,-1.69502e-09,9.15862e-11
1640236027.690098047,0.000187751,-1.94844e-06,3.14543e-09,-4.67183e-06,-1.53791e-09,9.13011e-11
1640236027.734285593,0.000187917,-1.94839e-06,3.13937e-09,-4.31755e-06,-1.32278e-09,9.08473e-11
1640236027.814311743,0.000195781,-1.95249e-06,3.04545e-09,4.80955e-06,-5.68077e-09,8.63599e-11
1640236027.870905161,0.000196056,-1.95281e-06,3.05034e-09,4.91746e-06,-5.67593e-09,8.63599e-11
1640236027.911106586,0.000195967,-1.9527e-06,3.06204e-09,4.67149e-06,-5.29579e-09,8.67278e-11
1640236027.951256275,0.000195961,-1.95269e-06,3.07083e-09,4.5238e-06,-5.03584e-09,8.69652e-11
1640236027.991410017,0.000195941,-1.95266e-06,3.07959e-09,4.36411e-06,-4.76696e-09,8.72e-11
1640236028.034352064,0.000195781,-1.95249e-06,3.09197e-09,4.03333e-06,-4.31252e-09,8.75849e-11
1640236028.114216328,0.000195781,-1.95249e-06,3.10632e-09,3.77734e-06,-3.875e-09,8.7912e-11
1640236028.154353142,0.000195781,-1.95249e-06,3.11313e-09,3.65353e-06,-3.6661e-09,8.80576e-11
1640236028.212604284,0.000195996,-1.9527e-06,3.11826e-09,3.7273e-06,-3.62012e-09,8.80576e-11
1640236028.252805948,0.000195921,-1.95262e-06,3.12613e-09,3.5264e-06,-3.33981e-09,8.8249e-11
1640236028.292970657,0.000187698,-1.95339e-06,3.19021e-09,-5.83838e-06,-4.01556e-09,9.08848e-11
1640236028.334270239,0.000187931,-1.95322e-06,3.18128e-09,-5.39075e-06,-3.61654e-09,9.03235e-11
1640236028.414405584,0.000187931,-1.95322e-06,3.17792e-09,-5.05786e-06,-3.22697e-09,8.98553e-11
1640236028.454384089,0.000187931,-1.95322e-06,3.17683e-09,-4.89835e-06,-3.04286e-09,8.96489e-11
1640236028.494343281,0.000187931,-1.95322e-06,3.1761e-09,-4.74283e-06,-2.86518e-09,8.94589e-11
1640236028.534332991,0.000187931,-1.95322e-06,3.1757e-09,-4.59106e-06,-2.69356e-09,8.92838e-11
1640236028.594264507,0.000187653,-1.95338e-06,3.18105e-09,-4.69104e-06,-2.63136e-09,8.92838e-11
1640236028.634415627,0.000195781,-1.95601e-06,3.17245e-09,4.53876e-06,-5.40516e-09,8.87889e-11
1640236028.714734554,0.000195781,-1.95601e-06,3.18831e-09,4.25623e-06,-4.90819e-09,8.91719e-11
1640236028.754885674,0.000195781,-1.95601e-06,3.19575e-09,4.12063e-06,-4.67213e-09,8.93409e-11
1640236028.815168381,0.000196032,-1.9563e-06,3.20113e-09,4.21257e-06,-4.65569e-09,8.93409e-11
1640236028.855397463,0.00019594,-1.95619e-06,3.20996e-09,3.97994e-06,-4.31564e-09,8.95695e-11
1640236028.895595551,0.000195935,-1.95618e-06,3.21671e-09,3.84958e-06,-4.09486e-09,8.97069e-11
1640236028.914298773,0.000195781,-1.95601e-06,3.22255e-09,3.61413e-06,-3.80743e-09,8.98884e-11
1640236029.016142845,0.000187929,-1.95923e-06,3.20529e-09,-5.49915e-06,-6.92141e-09,8.87113e-11
1640236029.056330681,0.000187929,-1.95923e-06,3.2031e-09,-5.32789e-06,-6.62206e-09,8.84609e-11
1640236029.096483707,0.000187929,-1.95923e-06,3.20135e-09,-5.16092e-06,-6.33212e-09,8.82303e-11
1640236029.156802654,0.000187614,-1.95961e-06,3.20667e-09,-5.28046e-06,-6.35397e-09,8.82303e-11
1640236029.197001934,0.00018773,-1.95947e-06,3.20299e-09,-4.99147e-06,-5.92062e-09,8.79174e-11
1640236029.277357340,0.000187728,-1.95946e-06,3.20197e-09,-4.68946e-06,-5.40211e-09,8.75677e-11
1640236029.317598104,0.000187748,-1.95943e-06,3.20152e-09,-4.52147e-06,-5.12862e-09,8.73961e-11
1640236029.357845306,0.000195838,-1.96213e-06,3.25629e-09,5.01189e-06,-8.02102e-09,8.96252e-11
1640236029.438349485,0.000196035,-1.96244e-06,3.27059e-09,4.93432e-06,-7.71911e-09,8.99305e-11
1640236029.438349485,0.000195838,-1.96213e-06,3.27713e-09,4.70563e-06,-7.35932e-09,9.02124e-11
1640236029.498672485,0.000196125,-1.96257e-06,3.28257e-09,4.81662e-06,-7.40238e-09,9.02124e-11
1640236029.574564934,0.000195838,-1.96213e-06,3.30818e-09,4.21943e-06,-6.32702e-09,9.10175e-11
1640236029.619199038,0.000196027,-1.96241e-06,3.31224e-09,4.28943e-06,-6.3403e-09,9.10175e-11
1640236029.659388542,0.000195838,-1.96213e-06,3.3253e-09,3.93717e-06,-5.73803e-09,9.14199e-11
1640236029.739762545,0.000195992,-1.96235e-06,3.33658e-09,3.86318e-06,-5.47203e-09,9.15882e-11
1640236029.739762545,0.000195838,-1.96213e-06,3.34023e-09,3.6841e-06,-5.21655e-09,9.17438e-11
1640236029.800010443,0.000196062,-1.96244e-06,3.34575e-09,3.76103e-06,-5.20885e-09,9.17438e-11
1640236029.874304771,0.000187989,-1.96354e-06,3.32591e-09,-5.23269e-06,-5.94804e-09,9.05998e-11
1640236029.920513153,0.000187745,-1.96382e-06,3.33009e-09,-5.32636e-06,-5.9545e-09,9.05998e-11
1640236029.960700989,0.000187784,-1.96377e-06,3.32587e-09,-5.12017e-06,-5.63587e-09,9.02659e-11
1640236030.000910997,0.000187989,-1.96354e-06,3.31738e-09,-4.72731e-06,-5.11928e-09,8.97518e-11
1640236030.081263781,0.000187803,-1.96374e-06,3.3192e-09,-4.64207e-06,-4.86315e-09,8.95235e-11
1640236030.101386786,0.000187989,-1.96354e-06,3.31366e-09,-4.354e-06,-4.51965e-09,8.9213e-11
1640236030.174287558,0.000195838,-1.96718e-06,3.3537e-09,4.83358e-06,-8.25051e-09,9.06404e-11
1640236030.222034931,0.000195838,-1.96718e-06,3.36695e-09,4.65473e-06,-7.84011e-09,9.10169e-11
1640236030.262246609,0.000196027,-1.96749e-06,3.37061e-09,4.72775e-06,-7.87375e-09,9.10169e-11
1640236030.302484035,0.000196021,-1.96748e-06,3.3812e-09,4.57864e-06,-7.53529e-09,9.13082e-11
1640236030.342646599,0.000196015,-1.96747e-06,3.3913e-09,4.43291e-06,-7.20688e-09,9.15781e-11
1640236030.382885933,0.00019601,-1.96745e-06,3.40092e-09,4.29128e-06,-6.8892e-09,9.18274e-11
1640236030.474386692,0.000195838,-1.96718e-06,3.42592e-09,3.79516e-06,-5.90965e-09,9.25217e-11
1640236030.514352322,0.000195838,-1.96718e-06,3.43388e-09,3.67094e-06,-5.63724e-09,9.26996e-11
1640236030.563835144,0.000196021,-1.96746e-06,3.43846e-09,3.73397e-06,-5.63531e-09,9.26996e-11
1640236030.603990316,0.000187762,-1.96913e-06,3.43248e-09,-5.66665e-06,-7.25837e-09,9.22781e-11
1640236030.644162655,0.000187769,-1.96912e-06,3.42673e-09,-5.48987e-06,-6.93827e-09,9.18845e-11
1640236030.704501390,0.000187724,-1.96917e-06,3.42138e-09,-5.29371e-06,-6.55312e-09,9.14316e-11
1640236030.774383783,0.000187988,-1.96884e-06,3.40562e-09,-4.71416e-06,-5.68578e-09,9.05127e-11
1640236030.825104713,0.000187746,-1.96913e-06,3.41021e-09,-4.80198e-06,-5.68347e-09,9.05127e-11
1640236030.865282536,0.000187805,-1.96905e-06,3.4059e-09,-4.58789e-06,-5.34273e-09,9.01837e-11
1640236030.905471325,0.00018781,-1.96904e-06,3.40374e-09,-4.43784e-06,-5.08303e-09,8.9945e-11
1640236030.945643663,0.000187816,-1.96903e-06,3.402e-09,-4.29148e-06,-4.83165e-09,8.97238e-11
1640236030.985835552,0.000196049,-1.97267e-06,3.41439e-09,5.10425e-06,-8.68874e-09,9.01091e-11
1640236031.074337721,0.000195846,-1.97232e-06,3.4509e-09,4.54041e-06,-7.5263e-09,9.12831e-11
1640236031.114294529,0.000195846,-1.97232e-06,3.46209e-09,4.39816e-06,-7.20055e-09,9.1593e-11
1640236031.154331684,0.000195846,-1.97232e-06,3.47277e-09,4.25916e-06,-6.88422e-09,9.18808e-11
1640236031.206767797,0.000196071,-1.97268e-06,3.47759e-09,4.34335e-06,-6.90307e-09,9.18808e-11
1640236031.246992350,0.000196011,-1.97258e-06,3.48972e-09,4.14299e-06,-6.49292e-09,9.2226e-11
1640236031.327452183,0.000196,-1.97256e-06,3.50859e-09,3.87795e-06,-5.90381e-09,9.2693e-11
1640236031.367649317,0.000195969,-1.9725e-06,3.51825e-09,3.71981e-06,-5.57675e-09,9.2935e-11
1640236031.414343834,0.000188001,-1.9725e-06,3.56174e-09,-5.47314e-06,-5.269e-09,9.4502e-11
1640236031.488178253,0.00018782,-1.97267e-06,3.55874e-09,-5.37261e-06,-5.00299e-09,9.40963e-11
1640236031.508262873,0.000187711,-1.97277e-06,3.56063e-09,-5.41381e-06,-4.99606e-09,9.40963e-11
1640236031.588755846,0.000187802,-1.97268e-06,3.54737e-09,-4.99156e-06,-4.42461e-09,9.32523e-11
