Time [s], X-Pos [m], Y-Pos [m], phi [rad], dX-Pos [m/s], dY-Pos [m/s], Path Vel [m/s], dphi [rad/s]
0,0,0,0,0,0,0,0
0.05,0.000100536,0,0,0.00603214,0,0.00603214,0
0.1,0.000804285,0,0,0.0241286,0,0.0241286,0
0.15,0.00253422,0,0,0.0430732,0,0.0430732,0
0.2,0.00491055,0,0,0.0499691,0,0.0499691,0
0.25,0.00741051,0,0,0.05,0,0.05,0
0.3,0.00991051,0,0,0.05,0,0.05,0
0.35,0.0124105,0,0,0.05,0,0.05,0
0.4,0.0149105,0,0,0.05,0,0.05,0
0.45,0.0174105,0,0,0.05,0,0.05,0
0.5,0.0199105,0,0,0.05,0,0.05,0
0.55,0.0224105,0,0,0.05,0,0.05,0
0.6,0.0249105,0,0,0.05,0,0.05,0
0.65,0.0274105,0,0,0.05,0,0.05,0
0.7,0.0299105,0,0,0.05,0,0.05,0
0.75,0.0324105,0,0,0.05,0,0.05,0
0.8,0.0349105,0,0,0.05,0,0.05,0
0.85,0.0374105,0,0,0.05,0,0.05,0
0.9,0.0399105,0,0,0.05,0,0.05,0
0.95,0.0424105,0,0,0.05,0,0.05,0
1,0.0449105,0,0,0.05,0,0.05,0
1.05,0.0474105,0,0,0.05,0,0.05,0
1.1,0.0499105,0,0,0.05,0,0.05,0
1.15,0.0524105,0,0,0.05,0,0.05,0
1.2,0.0549105,0,0,0.05,0,0.05,0
1.25,0.0574105,0,0,0.05,0,0.05,0
1.3,0.0599105,0,0,0.05,0,0.05,0
1.35,0.0624105,0,0,0.05,0,0.05,0
1.4,0.0649105,0,0,0.05,0,0.05,0
1.45,0.0674105,0,0,0.05,0,0.05,0
1.5,0.0699105,0,0,0.05,0,0.05,0
1.55,0.0724105,0,0,0.05,0,0.05,0
1.6,0.0749105,0,0,0.05,0,0.05,0
1.65,0.0774105,0,0,0.05,0,0.05,0
1.7,0.0799105,0,0,0.05,0,0.05,0
1.75,0.0824105,0,0,0.05,0,0.05,0
1.8,0.0849105,0,0,0.05,0,0.05,0
1.85,0.0874105,0,0,0.05,0,0.05,0
1.9,0.0899105,0,0,0.05,0,0.05,0
1.95,0.0924105,0,0,0.05,0,0.05,0
2,0.0949105,0,0,0.05,0,0.05,0
2.05,0.0974105,0,0,0.05,0,0.05,0
2.1,0.0999105,0,0,0.05,0,0.05,0
2.15,0.102411,0,0,0.05,0,0.05,0
2.2,0.104911,0,0,0.05,0,0.05,0
2.25,0.107411,0,0,0.05,0,0.05,0
2.3,0.109911,0,0,0.05,0,0.05,0
2.35,0.112411,0,0,0.05,0,0.05,0
2.4,0.114911,0,0,0.05,0,0.05,0
2.45,0.117411,0,0,0.05,0,0.05,0
2.5,0.119911,0,0,0.05,0,0.05,0
2.55,0.122411,0,0,0.05,0,0.05,0
2.6,0.124911,0,0,0.05,0,0.05,0
2.65,0.127411,0,0,0.05,0,0.05,0
2.7,0.129911,0,0,0.05,0,0.05,0
2.75,0.132411,0,0,0.05,0,0.05,0
2.8,0.134911,0,0,0.05,0,0.05,0
2.85,0.137411,0,0,0.05,0,0.05,0
2.9,0.139911,0,0,0.05,0,0.05,0
2.95,0.142411,0,0,0.05,0,0.05,0
3,0.144911,0,0,0.05,0,0.05,0
