pose_x [m], pose_y [m], pose_theta [rad], v [m/s], delta [rad], x_e, y_e, theta_e, x_ref, y_ref, theta_ref
-0.501849, 0.5, 0.000365235, 0.00340665, -0.00678927, -0.502653, 0.5, 0.000365235, 0.000804285, 0, 0
-0.501853, 0.5, 0.00036725, 0.00681407, -0.0135609, -0.504567, 0.5, 0.00036725, 0.00271446, 0, 0
-0.501856, 0.500001, 0.000369568, 0.0102236, -0.0202686, -0.50829, 0.500001, 0.000369568, 0.00643428, 0, 0
-0.501864, 0.5, 0.000372877, 0.0136371, -0.0268354, -0.514431, 0.5, 0.000372877, 0.012567, 0, 0
-0.501872, 0.5, 0.000377195, 0.0170572, -0.0331564, -0.523378, 0.5, 0.000377195, 0.0215065, 0, 0
-0.501876, 0.5, 0.000380057, 0.020487, -0.0391182, -0.534719, 0.5, 0.000380057, 0.0328428, 0, 0
-0.501881, 0.5, 0.000381827, 0.023929, -0.0446677, -0.547854, 0.5, 0.000381827, 0.0459726, 0, 0
-0.501886, 0.5, 0.000384161, 0.0273849, -0.0497982, -0.562179, 0.5, 0.000384161, 0.0602928, 0, 0
-0.501241, 0.50005, 6.28305, 0.0308559, -0.0545737, -0.576441, 0.50005, 6.28305, 0.0752001, 0, 0
-0.499271, 0.500041, 6.28147, 0.0343423, -0.0590928, -0.589471, 0.500041, 6.28147, 0.0902001, 0, 0
-0.498161, 0.500038, 6.28048, 0.0347341, -0.0580769, -0.603361, 0.500038, 6.28048, 0.1052, 0, 0
-0.496897, 0.500036, 6.27929, 0.0347353, -0.0564432, -0.617097, 0.500036, 6.27929, 0.1202, 0, 0
-0.495615, 0.500029, 6.27813, 0.0347366, -0.0548615, -0.630815, 0.500029, 6.27813, 0.1352, 0, 0
-0.493681, 0.500017, 6.27647, 0.0347384, 6.94877e-310, -0.628881, 0.500017, 6.27647, 0.1352, 0, 0
-0.491101, 0.499966, 6.275, 0.0347409, 6.94877e-310, -0.626301, 0.499966, 6.275, 0.1352, 0, 0
-0.489818, 0.499948, 6.27504, 0.0347422, 6.94877e-310, -0.625018, 0.499948, 6.27504, 0.1352, 0, 0
-0.488507, 0.499938, 6.27507, 0.0347434, -0.053817, -0.638707, 0.499938, 6.27507, 0.1502, 0, 0
-0.487259, 0.499928, 6.2751, 0.0347447, 6.94877e-310, -0.637459, 0.499928, 6.2751, 0.1502, 0, 0
-0.485326, 0.49995, 6.27392, 0.0347466, 6.94877e-310, -0.635526, 0.49995, 6.27392, 0.1502, 0, 0
-0.483401, 0.499895, 6.27404, 0.0347484, 6.94877e-310, -0.633601, 0.499895, 6.27404, 0.1502, 0, 0
-0.482087, 0.49988, 6.27407, 0.0347497, 6.94877e-310, -0.632287, 0.49988, 6.27407, 0.1502, 0, 0
-0.480229, 0.499863, 6.27411, 0.0347515, 6.94877e-310, -0.630429, 0.499863, 6.27411, 0.1502, 0, 0
-0.478272, 0.499847, 6.27415, 0.0347534, 6.94877e-310, -0.628472, 0.499847, 6.27415, 0.1502, 0, 0
-0.477666, 0.49984, 6.27416, 0.034754, 6.94877e-310, -0.627866, 0.49984, 6.27416, 0.1502, 0, 0
-0.476384, 0.49983, 6.27419, 0.0347552, 6.94877e-310, -0.626584, 0.49983, 6.27419, 0.1502, 0, 0
-0.47379, 0.499807, 6.27425, 0.0347578, -0.0537502, -0.63899, 0.499807, 6.27425, 0.1652, 0, 0
-0.472542, 0.499796, 6.27428, 0.034759, 6.94877e-310, -0.637742, 0.499796, 6.27428, 0.1652, 0, 0
-0.470606, 0.499792, 6.27313, 0.0347609, 6.94877e-310, -0.635806, 0.499792, 6.27313, 0.1652, 0, 0
-0.468618, 0.499759, 6.27322, 0.0347628, 6.94877e-310, -0.633818, 0.499759, 6.27322, 0.1652, 0, 0
-0.46804, 0.499747, 6.27324, 0.0347634, 6.94877e-310, -0.63324, 0.499747, 6.27324, 0.1652, 0, 0
-0.466727, 0.499737, 6.27327, 0.0347647, 6.94877e-310, -0.631927, 0.499737, 6.27327, 0.1652, 0, 0
-0.465445, 0.499724, 6.2733, 0.0347659, 6.94877e-310, -0.630645, 0.499724, 6.2733, 0.1652, 0, 0
-0.46288, 0.499699, 6.27335, 0.0347684, 6.94877e-310, -0.62808, 0.499699, 6.27335, 0.1652, 0, 0
-0.460987, 0.499679, 6.2734, 0.0347703, 6.94877e-310, -0.626187, 0.499679, 6.2734, 0.1652, 0, 0
-0.458998, 0.499663, 6.27344, 0.0347722, -0.0536911, -0.639198, 0.499663, 6.27344, 0.1802, 0, 0
-0.45839, 0.499656, 6.27345, 0.0347728, 6.94877e-310, -0.63859, 0.499656, 6.27345, 0.1802, 0, 0
-0.45711, 0.499684, 6.27276, 0.0347741, 6.94877e-310, -0.63731, 0.499684, 6.27276, 0.1802, 0, 0
-0.454569, 0.499616, 6.27239, 0.0347766, 6.94877e-310, -0.634769, 0.499616, 6.27239, 0.1802, 0, 0
-0.453287, 0.499604, 6.27242, 0.0347778, 6.94877e-310, -0.633487, 0.499604, 6.27242, 0.1802, 0, 0
-0.451974, 0.499588, 6.27246, 0.0347791, 6.94877e-310, -0.632174, 0.499588, 6.27246, 0.1802, 0, 0
-0.450051, 0.499567, 6.2725, 0.034781, 6.94877e-310, -0.630251, 0.499567, 6.2725, 0.1802, 0, 0
-0.448128, 0.499547, 6.27255, 0.0347829, 6.94877e-310, -0.628328, 0.499547, 6.27255, 0.1802, 0, 0
-0.446205, 0.499526, 6.2726, 0.0347848, 6.94877e-310, -0.626405, 0.499526, 6.2726, 0.1802, 0, 0
-0.444923, 0.499513, 6.27263, 0.034786, 6.94877e-310, -0.625123, 0.499513, 6.27263, 0.1802, 0, 0
-0.443641, 0.499499, 6.27266, 0.0347873, -0.0536951, -0.638841, 0.499499, 6.27266, 0.1952, 0, 0
