x(m), y(m), heading(rad)  
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000000, 0.000000, 0.000000 
0.000088, 0.001138, -0.000205 
0.000089, 0.001152, -0.000208 
0.000091, 0.001180, -0.000213 
0.000093, 0.001207, -0.000218 
0.000095, 0.001234, -0.000222 
0.000097, 0.001261, -0.000227 
0.000099, 0.001288, -0.000232 
0.000101, 0.001315, -0.000237 
0.000103, 0.001343, -0.000242 
0.000105, 0.001369, -0.000247 
0.000107, 0.001396, -0.000252 
0.000110, 0.001423, -0.000257 
0.000112, 0.001450, -0.000261 
0.000114, 0.001477, -0.000266 
0.000116, 0.001505, -0.000271 
0.000118, 0.001532, -0.000276 
0.000120, 0.001559, -0.000281 
0.000124, 0.001607, -0.000290 
0.000128, 0.001657, -0.000299 
0.000131, 0.001706, -0.000308 
0.000131, 0.001706, -0.000308 
0.000133, 0.001734, -0.000313 
0.000139, 0.001805, -0.000325 
0.000143, 0.001861, -0.000336 
0.000143, 0.001862, -0.000336 
0.000145, 0.001889, -0.000341 
0.000148, 0.001917, -0.000346 
0.000151, 0.001960, -0.000353 
0.000152, 0.001971, -0.000355 
0.000154, 0.001998, -0.000360 
0.000156, 0.002026, -0.000365 
0.000158, 0.002052, -0.000370 
0.000160, 0.002080, -0.000375 
0.000162, 0.002107, -0.000380 
0.000164, 0.002134, -0.000385 
0.000166, 0.002161, -0.000390 
0.000168, 0.002188, -0.000395 
-0.001164, 0.001885, -0.000406 
-0.001167, 0.001887, -0.000406 
