Time [s], X-Pos [m], Y-Pos [m], phi [rad], dphi [rad/s], Path Vel [m/s], v_l [rpm], v_r [rpm]
0,0,0,0,0,0,0,0
0.05,4.85338e-05,0,0,0,0.00291203,2,2
0.1,0.00038827,0,0,0,0.0116481,7,7
0.15,0.00131041,0,0,0,0.0262083,15,15
0.2,0.00310616,0,0,0,0.0465925,27,27
0.25,0.00606673,0,0,0,0.0728007,42,42
0.3,0.010483,0,0,0,0.104719,61,61
0.35,0.0165033,0,0,0,0.135121,79,79
0.4,0.0238981,0,0,0,0.1597,93,93
0.45,0.0323762,0,0,0,0.178454,104,104
0.5,0.0416464,0,0,0,0.191384,111,111
0.55,0.0514175,0,0,0,0.19849,116,116
0.6,0.0613994,0,0,0,0.2,116,116
0.65,0.0713994,0,0,0,0.2,116,116
0.7,0.0813994,0,0,0,0.2,116,116
0.75,0.0913994,0,0,0,0.2,116,116
0.8,0.101399,0,0,0,0.2,116,116
0.85,0.111399,0,0,0,0.2,116,116
0.9,0.121399,0,0,0,0.2,116,116
0.95,0.131399,0,0,0,0.2,116,116
1,0.141399,0,0,0,0.2,116,116
1.05,0.151399,0,0,0,0.2,116,116
1.1,0.161399,0,0,0,0.2,116,116
1.15,0.171399,0,0,0,0.2,116,116
1.2,0.181399,0,0,0,0.2,116,116
1.25,0.191399,0,0,0,0.2,116,116
1.3,0.201399,0,0,0,0.2,116,116
1.35,0.211399,0,0,0,0.2,116,116
1.4,0.221399,0,0,0,0.2,116,116
1.45,0.231399,0,0,0,0.2,116,116
1.5,0.241399,0,0,0,0.2,116,116
1.55,0.251399,0,0,0,0.2,116,116
1.6,0.261399,0,0,0,0.2,116,116
1.65,0.271399,0,0,0,0.2,116,116
1.7,0.281399,0,0,0,0.2,116,116
1.75,0.291399,0,0,0,0.2,116,116
1.8,0.301399,0,0,0,0.2,116,116
1.85,0.311399,0,0,0,0.2,116,116
1.9,0.321399,0,0,0,0.2,116,116
1.95,0.331399,0,0,0,0.2,116,116
2,0.341399,0,0,0,0.2,116,116
2.05,0.351399,0,0,0,0.2,116,116
2.1,0.361399,0,0,0,0.2,116,116
2.15,0.371399,0,0,0,0.2,116,116
2.2,0.381399,0,0,0,0.2,116,116
2.25,0.391399,0,0,0,0.2,116,116
2.3,0.401399,0,0,0,0.2,116,116
2.35,0.411399,0,0,0,0.2,116,116
2.4,0.421399,0,0,0,0.2,116,116
2.45,0.431399,0,0,0,0.2,116,116
2.5,0.441399,0,0,0,0.2,116,116
2.55,0.451399,0,0,0,0.2,116,116
2.6,0.461399,0,0,0,0.2,116,116
2.65,0.471399,0,0,0,0.2,116,116
2.7,0.481399,0,0,0,0.2,116,116
2.75,0.491399,0,0,0,0.2,116,116
2.8,0.501399,0,0,0,0.2,116,116
2.85,0.511399,0,0,0,0.2,116,116
2.9,0.521399,0,0,0,0.2,116,116
2.95,0.531399,0,0,0,0.2,116,116
3,0.541399,0,0,0,0.2,116,116
3.05,0.551399,0,0,0,0.2,116,116
3.1,0.561399,0,0,0,0.2,116,116
3.15,0.571399,0,0,0,0.2,116,116
3.2,0.581399,0,0,0,0.2,116,116
3.25,0.591399,0,0,0,0.2,116,116
3.3,0.601399,0,0,0,0.2,116,116
3.35,0.611399,0,0,0,0.2,116,116
3.4,0.621399,0,0,0,0.2,116,116
3.45,0.631399,0,0,0,0.2,116,116
3.5,0.641399,0,0,0,0.2,116,116
3.55,0.651399,0,0,0,0.2,116,116
3.6,0.661399,0,0,0,0.2,116,116
3.65,0.671399,0,0,0,0.2,116,116
3.7,0.681399,0,0,0,0.2,116,116
3.75,0.691399,0,0,0,0.2,116,116
3.8,0.701399,0,0,0,0.2,116,116
3.85,0.711399,0,0,0,0.2,116,116
3.9,0.721399,0,0,0,0.2,116,116
3.95,0.731399,0,0,0,0.2,116,116
4,0.741399,0,0,0,0.2,116,116
4.05,0.751399,0,0,0,0.2,116,116
4.1,0.761399,0,0,0,0.2,116,116
4.15,0.771399,0,0,0,0.2,116,116
4.2,0.781399,0,0,0,0.2,116,116
4.25,0.791399,0,0,0,0.2,116,116
4.3,0.801399,0,0,0,0.2,116,116
4.35,0.811399,0,0,0,0.2,116,116
4.4,0.821399,0,0,0,0.2,116,116
4.45,0.831399,0,0,0,0.2,116,116
4.5,0.841399,0,0,0,0.2,116,116
4.55,0.851399,0,0,0,0.2,116,116
4.6,0.861399,0,0,0,0.2,116,116
4.65,0.871399,0,0,0,0.2,116,116
4.7,0.881399,0,0,0,0.2,116,116
4.75,0.891399,0,0,0,0.2,116,116
4.8,0.901399,0,0,0,0.2,116,116
4.85,0.911399,0,0,0,0.2,116,116
4.9,0.921399,0,0,0,0.2,116,116
4.95,0.931399,0,0,0,0.2,116,116
5,0.941399,0,0,0,0.2,116,116
5.05,0.951399,0,0,0,0.2,116,116
5.1,0.961399,0,0,0,0.2,116,116
5.15,0.971399,0,0,0,0.2,116,116
5.2,0.981399,0,0,0,0.2,116,116
5.25,0.991399,0,0,0,0.2,116,116
5.3,1.0014,0,0,0,0.2,116,116
5.35,1.0114,0,0,0,0.2,116,116
5.4,1.0214,0,0,0,0.2,116,116
5.45,1.0314,0,0,0,0.2,116,116
5.5,1.0414,0,0,0,0.2,116,116
5.55,1.0514,0,0,0,0.2,116,116
5.6,1.0614,0,0,0,0.2,116,116
5.65,1.0714,0,0,0,0.2,116,116
5.7,1.0814,0,0,0,0.2,116,116
5.75,1.0914,0,0,0,0.2,116,116
5.8,1.1014,0,0,0,0.2,116,116
5.85,1.1114,0,0,0,0.2,116,116
5.9,1.1214,0,0,0,0.2,116,116
5.95,1.1314,0,0,0,0.2,116,116
6,1.1414,0,0,0,0.2,116,116
6.05,1.1514,0,0,0,0.2,116,116
6.1,1.1614,0,0,0,0.2,116,116
6.15,1.1714,0,0,0,0.2,116,116
6.2,1.1814,0,0,0,0.2,116,116
6.25,1.1914,0,0,0,0.2,116,116
6.3,1.2014,0,0,0,0.2,116,116
6.35,1.2114,0,0,0,0.2,116,116
6.4,1.2214,0,0,0,0.2,116,116
6.45,1.2314,0,0,0,0.2,116,116
6.5,1.2414,0,0,0,0.2,116,116
6.55,1.2514,0,0,0,0.2,116,116
6.6,1.2614,0,0,0,0.2,116,116
6.65,1.2714,0,0,0,0.2,116,116
6.7,1.2814,0,0,0,0.2,116,116
6.75,1.2914,0,0,0,0.2,116,116
6.8,1.3014,0,0,0,0.2,116,116
6.85,1.3114,0,0,0,0.2,116,116
6.9,1.3214,0,0,0,0.2,116,116
6.95,1.3314,0,0,0,0.2,116,116
7,1.3414,0,0,0,0.2,116,116
7.05,1.3514,0,0,0,0.2,116,116
7.1,1.3614,0,0,0,0.2,116,116
7.15,1.3714,0,0,0,0.2,116,116
7.2,1.3814,0,0,0,0.2,116,116
7.25,1.3914,0,0,0,0.2,116,116
7.3,1.4014,0,0,0,0.2,116,116
7.35,1.4114,0,0,0,0.2,116,116
7.4,1.4214,0,0,0,0.2,116,116
7.45,1.4314,0,0,0,0.2,116,116
7.5,1.4414,0,0,0,0.2,116,116
7.55,1.4514,0,0,0,0.2,116,116
7.6,1.4614,0,0,0,0.2,116,116
7.65,1.4714,0,0,0,0.2,116,116
7.7,1.4814,0,0,0,0.2,116,116
7.75,1.4914,0,0,0,0.2,116,116
7.8,1.5014,0,0,0,0.2,116,116
7.85,1.5114,0,0,0,0.2,116,116
