Time [s], X-Pos [m], Y-Pos [m], phi [rad], dphi [rad/s], Path Vel [m/s], v_l [rpm], v_r [rpm]
0,0,0,0,0,0,0,0
0.05,7.5747e-05,0,0,0,0.00454482,8,8
0.1,0.000605976,0,0,0,0.0181793,32,32
0.15,0.00204517,0,0,0,0.0409034,71,71
0.2,0.00479951,0,0,0,0.0684751,119,119
0.25,0.008746,0,0,0,0.0878698,153,153
0.3,0.013435,0,0,0,0.0981748,170,170
0.35,0.0184157,0,0,0,0.1,174,174
0.4,0.0234157,0,0,0,0.1,174,174
0.45,0.0284157,0,0,0,0.1,174,174
0.5,0.0334157,0,0,0,0.1,174,174
0.55,0.0384157,0,0,0,0.1,174,174
0.6,0.0434157,0,0,0,0.1,174,174
0.65,0.0484157,0,0,0,0.1,174,174
0.7,0.0534157,0,0,0,0.1,174,174
0.75,0.0584157,0,0,0,0.1,174,174
0.8,0.0634157,0,0,0,0.1,174,174
0.85,0.0684157,0,0,0,0.1,174,174
0.9,0.0734157,0,0,0,0.1,174,174
0.95,0.0784157,0,0,0,0.1,174,174
1,0.0834157,0,0,0,0.1,174,174
1.05,0.0884157,0,0,0,0.1,174,174
1.1,0.0934157,0,0,0,0.1,174,174
1.15,0.0984157,0,0,0,0.1,174,174
1.2,0.103416,0,0,0,0.1,174,174
1.25,0.108416,0,0,0,0.1,174,174
1.3,0.113416,0,0,0,0.1,174,174
1.35,0.118416,0,0,0,0.1,174,174
1.4,0.123416,0,0,0,0.1,174,174
1.45,0.128416,0,0,0,0.1,174,174
1.5,0.133416,0,0,0,0.1,174,174
1.55,0.138416,0,0,0,0.1,174,174
1.6,0.143416,0,0,0,0.1,174,174
1.65,0.148416,0,0,0,0.1,174,174
1.7,0.153416,0,0,0,0.1,174,174
1.75,0.158416,0,0,0,0.1,174,174
1.8,0.163416,0,0,0,0.1,174,174
1.85,0.168416,0,0,0,0.1,174,174
1.9,0.173416,0,0,0,0.1,174,174
1.95,0.178416,0,0,0,0.1,174,174
2,0.183416,0,0,0,0.1,174,174
2.05,0.188416,0,0,0,0.1,174,174
2.1,0.193416,0,0,0,0.1,174,174
2.15,0.198416,0,0,0,0.1,174,174
2.2,0.203416,0,0,0,0.1,174,174
2.25,0.208416,0,0,0,0.1,174,174
2.3,0.213416,0,0,0,0.1,174,174
2.35,0.218416,0,0,0,0.1,174,174
2.4,0.223416,0,0,0,0.1,174,174
2.45,0.228416,0,0,0,0.1,174,174
2.5,0.233416,0,0,0,0.1,174,174
2.55,0.238416,0,0,0,0.1,174,174
2.6,0.243416,0,0,0,0.1,174,174
2.65,0.248416,0,0,0,0.1,174,174
2.7,0.253416,0,0,0,0.1,174,174
2.75,0.258416,0,0,0,0.1,174,174
2.8,0.263416,0,0,0,0.1,174,174
2.85,0.268416,0,0,0,0.1,174,174
2.9,0.273416,0,0,0,0.1,174,174
2.95,0.278416,0,0,0,0.1,174,174
3,0.283416,0,0,0,0.1,174,174
3.05,0.288416,0,0,0,0.1,174,174
3.1,0.293416,0,0,0,0.1,174,174
3.15,0.298416,0,0,0,0.1,174,174
3.2,0.303416,0,0,0,0.1,174,174
3.25,0.308416,0,0,0,0.1,174,174
3.3,0.313416,0,0,0,0.1,174,174
3.35,0.318416,0,0,0,0.1,174,174
3.4,0.323416,0,0,0,0.1,174,174
3.45,0.328416,0,0,0,0.1,174,174
3.5,0.333416,0,0,0,0.1,174,174
3.55,0.338416,0,0,0,0.1,174,174
3.6,0.343416,0,0,0,0.1,174,174
3.65,0.348416,0,0,0,0.1,174,174
3.7,0.353416,0,0,0,0.1,174,174
3.75,0.358416,0,0,0,0.1,174,174
3.8,0.363416,0,0,0,0.1,174,174
3.85,0.368416,0,0,0,0.1,174,174
3.9,0.373416,0,0,0,0.1,174,174
3.95,0.378416,0,0,0,0.1,174,174
4,0.383416,0,0,0,0.1,174,174
4.05,0.388416,0,0,0,0.1,174,174
4.1,0.393416,0,0,0,0.1,174,174
4.15,0.398416,0,0,0,0.1,174,174
4.2,0.403416,0,0,0,0.1,174,174
4.25,0.408416,0,0,0,0.1,174,174
4.3,0.413416,0,0,0,0.1,174,174
4.35,0.418416,0,0,0,0.1,174,174
4.4,0.423416,0,0,0,0.1,174,174
4.45,0.428416,0,0,0,0.1,174,174
4.5,0.433416,0,0,0,0.1,174,174
4.55,0.438416,0,0,0,0.1,174,174
4.6,0.443416,0,0,0,0.1,174,174
4.65,0.448416,0,0,0,0.1,174,174
4.7,0.453416,0,0,0,0.1,174,174
4.75,0.458416,0,0,0,0.1,174,174
4.8,0.463416,0,0,0,0.1,174,174
4.85,0.468416,0,0,0,0.1,174,174
4.9,0.473416,0,0,0,0.1,174,174
4.95,0.478416,0,0,0,0.1,174,174
5,0.483416,0,0,0,0.1,174,174
5.05,0.488416,0,0,0,0.1,174,174
5.1,0.493416,0,0,0,0.1,174,174
5.15,0.498416,0,0,0,0.1,174,174
5.2,0.503416,0,0,0,0.1,174,174
5.25,0.508416,0,0,0,0.1,174,174
5.3,0.513416,0,0,0,0.1,174,174
5.35,0.518416,0,0,0,0.1,174,174
5.4,0.523416,0,0,0,0.1,174,174
5.45,0.528416,0,0,0,0.1,174,174
5.5,0.533416,0,0,0,0.1,174,174
5.55,0.538416,0,0,0,0.1,174,174
5.6,0.543416,0,0,0,0.1,174,174
5.65,0.548416,0,0,0,0.1,174,174
5.7,0.553416,0,0,0,0.1,174,174
5.75,0.558416,0,0,0,0.1,174,174
5.8,0.563416,0,0,0,0.1,174,174
